Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2012",, ,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,State Total,,6553255,28108,358,2277,7386,18087,231930,52934,159838,19158
,,"Rate per 100,000 inhabitants",,429,6,35,113,276,3539,808,2439,292
ARKANSAS,Metropolitan Statistical Area,,1782720,,,,,,,,,
,,Area actually reporting,1,9710,118,801,1894,6897,71252,19357,48012,3883
,,Estimated total,1,10163,122,853,1913,7275,73787,20322,49371,4094
,Cities outside metropolitan areas,,510920,, ,,,,,,,
,,Area actually reporting ,1,2273,33,231,342,1667,21509,7274,13549,686
,,Estimated total,1,2303,33,234,347,1689,21796,7371,13730,695
,Nonmetropolitan counties,,655491,,,,,,,,,
,,Area actually reporting,1,1217,16,142,53,1006,10995,3734,6429,832
,,Estimated total,1,1369,18,160,60,1131,12358,4197,7226,935
,State Total,,2949131,13835,173,1247,2320,10095,107941,31890,70327,5724
,,"Rate per 100,000 inhabitants",,469,6,42,79,342,3660,1081,2385,194
CALIFORNIA,Metropolitan Statistical Area,,37191572,,,,,,,,,
,,Area actually reporting,1,157689,1852,7562,56074,92201,1028710,239283,622803,166624
,,Estimated total,1,157749,1852,7565,56094,92238,1029164,239392,623083,166689
,Cities outside metropolitan areas,,277160,,,,,,,,,
,,Area actually reporting,1,1573,9,118,268,1178,10573,2727,7078,768
,Nonmetropolitan counties,,572698,,,,,,,,,
,,Area actually reporting,1,1622,23,154,159,1286,9728,3648,4929,1151
,State Total,,38041430,160944,1884,7837,56521,94702,1049465,245767,635090,168608
,,"Rate per 100,000 inhabitants",,423,5,21,149,249,2759,646,1670,443
COLORADO,Metropolitan Statistical Area,,4492292,,,,, ,,,,
,,Area actually reporting,1,14734,145,1936,3297,9356,126058,23715,90810,11533
,,Estimated total,1,14813,145,1948,3309,9411,127022,23859,91563,11600
,Cities outside metropolitan areas,,329576,,,,,,,,,
,,Area actually reporting,1,723,7,104,72,540,8366,1278,6801,287
,,Estimated total,1,792,8,114,79,591,9152,1398,7440,314
,Nonmetropolitan counties,,365714,,,,,,,,,
,,Area actually reporting,1,370,8,45,6,311,2745,798,1789,158
,,Estimated total,1,418,9,51,7,351,3096,900,2018,178
,State Total,,5187582,16023,162,2113,3395,10353,139270,26157,101021,12092
,,"Rate per 100,000 inhabitants",,309,3,41,65,200,2685,504,1947,233
CONNECTICUT,Metropolitan Statistical Area,,2933569,,,,,,,,,
,,Area actually reporting,1,9680,108,828,3609,5135,69896,13021,50840,6035
,Cities outside metropolitan areas,,118014,,,,,,,,,
,,Area actually reporting,1,124,2,37,19,66,2326,378,1848,100
,Nonmetropolitan counties,,538764,,,,,,,,,
,,Area actually reporting,1,356,36,54,59,207,4612,1312,2986,314
,State Total,,3590347,10160,146,919,3687,5408,76834,14711,55674,6449
,,"Rate per 100,000 inhabitants",,283,4,26,103,151,2140,410,1551,180
DELAWARE,Metropolitan Statistical Area,,917092,,,,,,,,,
,,Area actually reporting,1,5020,57,243,1492,3228,30639,7371,21832,1436
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,None,,, ,,,,,,
,State Total,,917092,5020,57,243,1492,3228,30639,7371,21832,1436
,,"Rate per 100,000 inhabitants",,547,6,27,163,352,3341,804,2381,157
DISTRICT OF COLUMBIA1,Metropolitan Statistical Area,,632323,,,,,,,,,
,,Area actually reporting,1,7864,88,236,4036,3504,30736,3519,23556,3661
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,
,Total,,632323,7864,88,236,4036,3504,30736,3519,23556,3661
,,"Rate per 100,000 inhabitants",,1244,14,37,638,554,4861,557,3725,579
FLORIDA,Metropolitan Statistical Area,,18601449, ,,,,, ,,,
,,Area actually reporting,1,90584,986,5012,23480,61106,613039,146949,429515,36575
,,Estimated total,1,90694,986,5017,23513,61178,613951,147151,430173,36627
,Cities outside metropolitan areas,,146081,,,,,,,,,
,,Area actually reporting,1,1066,7,60,189,810,6429,1710,4514,205
,,Estimated total,1,1082,7,61,192,822,6526,1736,4582,208
,Nonmetropolitan counties,,570038,,,,,,,,,
,,Area actually reporting,1,2311,16,182,184,1929,12511,4676,7340,495
,State Total,,19317568,94087,1009,5260,23889,63929,632988,153563,442095,37330
,,"Rate per 100,000 inhabitants",,487,5,27,124,331,3277,795,2289,193
GEORGIA,Metropolitan Statistical Area,,8122687,,,,,,,,,
,,Area actually reporting,1,31515,492,1712,11396,17915,281144,71871,182887,26386
,,Estimated total,1,31675,492,1721,11453,18009,282825,72230,184075,26520
,Cities outside metropolitan areas,,663946,,,,,,,,,
,,Area actually reporting,1,3180,37,215,750,2178,29697,7137,21745,815
,,Estimated total,1,3434,40,232,810,2352,32074,7708,23486,880
,Nonmetropolitan counties,,1133312,,,,,,,,,
,,Area actually reporting,1,2388,47,165,192,1984,22544,6592,14859,1093
,,Estimated total,1,2482,49,171,200,2062,23430,6851,15443,1136
,State Total,,9919945,37591,581,2124,12463,22423,338329,86789,223004,28536
,,"Rate per 100,000 inhabitants",,379,6,21,126,226,3411,875,2248,288
HAWAII,Metropolitan Statistical Area,,1134635,,,,,,,,,
,,Area actually reporting,1,2675,25,204,939,1507,34679,6039,25607,3033
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,257678,,,,,,,,,
,,Area actually reporting,1,655,4,81,101,469,8138,1940,5626,572
,State Total, ,1392313,3330,29,285,1040,1976,42817,7979,31233,3605
,,"Rate per 100,000 inhabitants",,239,2,21,75,142,3075,573,2243,259
IDAHO,Metropolitan Statistical Area,,1046821,,,,,, ,,,
,,Area actually reporting,1,2241,11,319,189,1722,23187,4920,17332,935
,,Estimated total,1,2242,11,319,189,1723,23198,4922,17341,935
,Cities outside metropolitan areas,,249143,,,,,,,,,
,,Area actually reporting,1,679,6,94,47,532,5316,1191,3905,220
,Nonmetropolitan counties, ,299764,,,,,,, ,,
,,Area actually reporting,1,397,12,66,7,312,3137,1073,1855,209
,State Total,,1595728,3318,29,479,243,2567,31651,7186,23101,1364
,,"Rate per 100,000 inhabitants",,208,2,30,15,161,1984,450,1448,86
ILLINOIS,Metropolitan Statistical Area,,11351574,,,,,,,,,
,,Area actually reporting,1,49174,718,3047,19031,26378,296052,62951,208470,24631
,,Estimated total,1,49982,726,3139,19245,26872,303879,64538,214378,24963
,Cities outside metropolitan areas,,833251,,,,,,,,,
,,Area actually reporting,1,2323,10,290,182,1841,18413,3761,14233,419
,,Estimated total,1,2644,11,330,207,2096,20960,4281,16202,477
,Nonmetropolitan counties,,690430,,,,,,,,,
,,Area actually reporting,1,733,7,95,18,613,6768,2153,4379,236
,,Estimated total,1,777,7,101,19,650,7174,2282,4642,250
,State Total,,12875255,53403,744,3570,19471,29618,332013,71101,235222,25690
,,"Rate per 100,000 inhabitants",,415,6,28,151,230,2579,552,1827,200
INDIANA,Metropolitan Statistical Area,,5054644,,,,,,,,,
,,Area actually reporting,1,19898,267,1322,6228,12081,158421,38510,108199,11712
,,Estimated total,1,20537,275,1396,6323,12543,167343,40612,114459,12272
,Cities outside metropolitan areas, ,524374,,,,,,,,,
,,Area actually reporting,1,1015,10,140,184,681,17092,3082,13224,786
,,Estimated total,1,1177,12,162,213,790,19832,3576,15344,912
,Nonmetropolitan counties,,958316,,,,,,,,,
,,Area actually reporting,1,699,18,86,49,546,8538,2693,5470,375
,,Estimated total,1,888,23,109,62,694,10857,3424,6956,477
,State Total,,6537334,22602,310,1667,6598,14027,198032,47612,136759,13661
,,"Rate per 100,000 inhabitants",,346,5,26,101,215,3029,728,2092,209
IOWA,Metropolitan Statistical Area,,1773013, ,,,,,,,,
,,Area actually reporting,1,5356,31,625,829,3871,48220,11157,34135,2928
,,Estimated total,1,5394,31,631,830,3902,48560,11259,34349,2952
,Cities outside metropolitan areas,,604442,,,,,,,,,
,,Area actually reporting,1,1799,11,167,110,1511,14660,3600,10434,626
,,Estimated total,1,2005,12,186,123,1684,16339,4012,11629,698
,Nonmetropolitan counties,,696731,,,,,,,,,
,,Area actually reporting,1,613,2,46,8,557,4249,1570,2358,321
,,Estimated total,1,713,2,54,9,648,4940,1825,2742,373
,State Total,,3074186,8112,45,871,962,6234,69839,17096,48720,4023
,,"Rate per 100,000 inhabitants",,264,2,28,31,203,2272,556,1585,131
KANSAS,Metropolitan Statistical Area,,1923596, ,,,,,,,,
,,Area actually reporting,1,7207,67,689,1297,5154,63939,12207,46230,5502
,,Estimated total,1,7239,67,693,1301,5178,64300,12269,46505,5526
,Cities outside metropolitan areas,,620655,,,,,,,,,
,,Area actually reporting,1,2233,9,277,178,1769,20552,4470,15223,859
,,Estimated total,1,2323,9,288,185,1841,21384,4651,15839,894
,Nonmetropolitan counties,,341654,,,,,,,,,
,,Area actually reporting,1,654,8,70,14,562,4904,1802,2753,349
,,Estimated total,1,670,8,72,14,576,5026,1847,2821,358
,State Total,,2885905,10232,84,1053,1500,7595,90710,18767,65165,6778
,,"Rate per 100,000 inhabitants",,355,3,37,52,263,3143,650,2258,235
KENTUCKY,Metropolitan Statistical Area,,2530495, ,,,,, ,,,
,,Area actually reporting,1,7289,101,656,2925,3607,79535,18970,55714,4851
,,Estimated total,1,7313,101,660,2937,3615,79876,19048,55961,4867
,Cities outside metropolitan areas,,530844,,,,,,,,,
,,Area actually reporting,1,936,17,146,363,410,16643,3617,12404,622
,,Estimated total,1,979,18,153,379,429,17398,3781,12967,650
,Nonmetropolitan counties,,1319076,,,,,,,,,
,,Area actually reporting,1,1422,74,447,213,688,14173,6582,6470,1121
,,Estimated total,1,1460,76,459,219,706,14552,6758,6643,1151
,State Total,,4380415,9752,195,1272,3535,4750,111826,29587,75571,6668
,,"Rate per 100,000 inhabitants",,223,5,29,81,108,2553,675,1725,152
LOUISIANA,Metropolitan Statistical Area,,3823577, ,,,,, ,,,
,,Area actually reporting,1,18739,450,908,4972,12409,136314,35438,93929,6947
,,Estimated total,1,19200,456,934,5059,12751,140631,36395,97127,7109
,Cities outside metropolitan areas,,279709,,,,,,,,,
,,Area actually reporting,1,1744,17,75,251,1401,10168,2717,7222,229
,,Estimated total,1,2254,22,97,324,1811,13140,3511,9333,296
,Nonmetropolitan counties,,498607,,,,,,,,,
,,Area actually reporting,1,1250,15,112,81,1042,8110,1977,5712,421
,,Estimated total,1,1414,17,127,92,1178,9165,2234,6455,476
,State Total,,4601893,22868,495,1158,5475,15740,162936,42140,112915,7881
,,"Rate per 100,000 inhabitants",,497,11,25,119,342,3541,916,2454,171
MAINE,Metropolitan Statistical Area,,777579,,,,,,,,,
,,Area actually reporting,1,982,15,200,324,443,20607,4179,15819,609
,Cities outside metropolitan areas,,272036,,,,,,,,,
,,Area actually reporting,1,402,4,114,75,209,8280,1683,6382,215
,Nonmetropolitan counties,,279577,,,,,,,,,
,,Area actually reporting,1,247,6,58,24,159,4474,1599,2704,171
,State Total,,1329192,1631,25,372,423,811,33361,7461,24905,995
,,"Rate per 100,000 inhabitants",,123,2,28,32,61,2510,561,1874,75
MARYLAND,Metropolitan Statistical Area,,5729173,,,,,,,,,
,,Area actually reporting,1,27531,364,1188,10040,15939,158189,32580,110726,14883
,Cities outside metropolitan areas,,52943,,,,,,,,,
,,Area actually reporting,1,321,2,31,74,214,1934,438,1442,54
,Nonmetropolitan counties,,102447,,,,,,,,,
,,Area actually reporting,1,203,3,16,27,157,1908,714,1106,88
,State Total,,5884563,28055,369,1235,10141,16310,162031,33732,113274,15025
,,"Rate per 100,000 inhabitants",,477,6,21,172,277,2754,573,1925,255
MASSACHUSETTS,Metropolitan Statistical Area,,6546761,,,,,,,,,
,,Area actually reporting,1,26233,120,1590,6432,18091,138322,33264,96045,9013
,,Estimated total,1,26648,120,1620,6516,18392,140839,33874,97803,9162
,Cities outside metropolitan areas,,91869,,,,,,,,,
,,Area actually reporting,1,245,1,19,31,194,1963,581,1321,61
,,Estimated total,1,281,1,22,36,222,2250,666,1514,70
,Nonmetropolitan counties,,7514,,,,,,,,,
,,Area actually reporting,1,24,0,0,0,24,0,0,0,0
,State Total,,6646144,26953,121,1642,6552,18638,143089,34540,99317,9232
,,"Rate per 100,000 inhabitants",,406,2,25,99,280,2153,520,1494,139
MICHIGAN,Metropolitan Statistical Area,,8069120,,,,,,,,,
,,Area actually reporting,1,40674,659,3365,10225,26425,212949,57129,132041,23779
,,Estimated total,1,40963,660,3398,10292,26613,215518,57671,133871,23976
,Cities outside metropolitan areas,,609654,,,,,,,,,
,,Area actually reporting,1,1381,8,376,70,927,15020,2244,12359,417
,,Estimated total,1,1587,9,432,80,1066,17268,2580,14209,479
,Nonmetropolitan counties,,1204586,,,,,,,,,
,,Area actually reporting,1,2131,18,682,56,1375,15550,4862,10095,593
,,Estimated total,1,2372,20,759,62,1531,17315,5414,11241,660
,State Total, ,9883360,44922,689,4589,10434,29210,250101,65665,159321,25115
,,"Rate per 100,000 inhabitants",,455,7,46,106,296,2531,664,1612,254
MINNESOTA2,Metropolitan Statistical Area,,4129414,,,,,,,,,
,,Area actually reporting,1,,84,,3360,5716,113606,20487,85803,7316
,Cities outside metropolitan areas,,491959,,,,,,,,,
,,Area actually reporting,1,,5,,95,996,15178,2300,12291,587
,Nonmetropolitan counties,,757766,,,,,,,,,
,,Area actually reporting,1,,10,,20,495,9368,2591,6222,555
,State Total,,5379139,12419,99,1638,3475,7207,138152,25378,104316,8458
,,"Rate per 100,000 inhabitants",,231,2,31,65,134,2568,472,1939,157
MISSISSIPPI,Metropolitan Statistical Area,,1346110, ,,,,,,,,
,,Area actually reporting,1,3582,105,398,1374,1705,39268,11667,25114,2487
,,Estimated total,1,3803,111,429,1421,1842,42480,12719,27092,2669
,Cities outside metropolitan areas,,589064,,,,,,,,,
,,Area actually reporting,1,1753,43,186,544,980,20580,6820,13051,709
,,Estimated total,1,2261,55,240,702,1264,26539,8795,16830,914
,Nonmetropolitan counties,,1049752,,,,,,,,,
,,Area actually reporting,1,932,29,83,87,733,8058,3552,4106,400
,,Estimated total,1,1722,54,153,161,1354,14887,6562,7586,739
,State Total,,2984926,7786,220,822,2284,4460,83906,28076,51508,4322
,,"Rate per 100,000 inhabitants",,261,7,28,77,149,2811,941,1726,145
MISSOURI,Metropolitan Statistical Area,,4459490, ,,,,,,,,
,,Area actually reporting,1,22444,366,1236,5480,15362,158787,32998,111426,14363
,,Estimated total,1,22415,336,1236,5480,15363,158804,33001,111439,14364
,Cities outside metropolitan areas,,663032,,,,,,,,,
,,Area actually reporting,1,2799,14,147,246,2392,26657,4628,21053,976
,,Estimated total,1,2805,14,147,247,2397,26718,4639,21101,978
,Nonmetropolitan counties,,899466,,,,,,,,,
,,Area actually reporting,1,1935,39,128,55,1713,14068,4826,8276,966
,State Total,,6021988,27155,389,1511,5782,19473,199590,42466,140816,16308
,,"Rate per 100,000 inhabitants",,451,7,25,96,323,3314,705,2338,271
MONTANA,Metropolitan Statistical Area,,355392, ,,,,,,,,
,,Area actually reporting,1,971,3,100,133,735,12486,1851,9838,797
,Cities outside metropolitan areas,,203868,,,,,,,,,
,,Area actually reporting,1,894,11,180,39,664,7149,935,5795,419
,,Estimated total,1,917,11,185,40,681,7335,959,5946,430
,Nonmetropolitan counties,,445881,,,,,,,,,
,,Area actually reporting,1,838,13,93,18,714,6074,1071,4547,456
,,Estimated total,1,848,13,94,18,723,6149,1084,4603,462
,State Total,,1005141,2736,27,379,191,2139,25970,3894,20387,1689
,,"Rate per 100,000 inhabitants",,272,3,38,19,213,2584,387,2028,168
NEBRASKA,Metropolitan Statistical Area,,1177981,,,,,,,,,
,,Area actually reporting,1,4028,46,494,1077,2411,38248,6483,28160,3605
,,Estimated total,1,4044,46,498,1078,2422,38569,6551,28391,3627
,Cities outside metropolitan areas,,343307,,,,,,,,,
,,Area actually reporting,1,532,3,157,40,332,8423,1324,6784,315
,,Estimated total,1,599,3,177,45,374,9477,1490,7633,354
,Nonmetropolitan counties,,334237,,,,,,,,,
,,Area actually reporting,1,139,3,29,6,101,2501,565,1801,135
,,Estimated total,1,171,4,36,7,124,3072,694,2212,166
,State Total,,1855525,4814,53,711,1130,2920,51118,8735,38236,4147
,,"Rate per 100,000 inhabitants",,259,3,38,61,157,2755,471,2061,224
NEVADA,Metropolitan Statistical Area,,2487122,,,,,,,,,
,,Area actually reporting,1,15754,107,824,4852,9971,71770,20521,41708,9541
,Cities outside metropolitan areas,,46956,,,,,,,,,
,,Area actually reporting,1,305,12,39,19,235,1815,469,1187,159
,Nonmetropolitan counties,,224853,,,,,,,,,
,,Area actually reporting,1,704,5,68,47,584,3925,1130,2477,318
,State Total,,2758931,16763,124,931,4918,10790,77510,22120,45372,10018
,,"Rate per 100,000 inhabitants",,608,5,34,178,391,2809,802,1645,363
NEW HAMPSHIRE,Metropolitan Statistical Area,,823334,,,,,,,,,
,,Area actually reporting,1,1571,10,265,360,936,17792,3033,14131,628
,,Estimated total,1,1610,10,274,365,961,18391,3126,14617,648
,Cities outside metropolitan areas,,444509,,,,,,,,,
,,Area actually reporting,1,675,4,143,94,434,9999,1763,7954,282
,,Estimated total,1,770,5,163,107,495,11416,2013,9081,322
,Nonmetropolitan counties,,52875,,,,,,,,,
,,Area actually reporting,0,20,0,2,0,18,102,36,62,4
,,Estimated total,1,101,0,12,0,89,886,305,528,53
,State Total,,1320718,2481,15,449,472,1545,30693,5444,24226,1023
,,"Rate per 100,000 inhabitants",,188,1,34,36,117,2324,412,1834,78
NEW JERSEY,Metropolitan Statistical Area,,8864590,,,,,,,,,
,,Area actually reporting,1,25707,388,1034,11377,12908,181293,42296,122529,16468
,,Estimated total,1,25727,388,1035,11385,12919,181481,42338,122662,16481
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,
,State Total,,8864590,25727,388,1035,11385,12919,181481,42338,122662,16481
,,"Rate per 100,000 inhabitants",,290,4,12,128,146,2047,478,1384,186
NEW MEXICO,Metropolitan Statistical Area,,1388294, ,,,,, ,,,
,,Area actually reporting,1,7858,72,621,1507,5658,52207,14091,33866,4250
,,Estimated total,1,7906,72,625,1511,5698,52507,14161,34072,4274
,Cities outside metropolitan areas,,397656,,,,,,,,,
,,Area actually reporting,1,2941,36,265,282,2358,17422,4810,11835,777
,,Estimated total,1,2970,36,268,285,2381,17589,4856,11949,784
,Nonmetropolitan counties,,299588,,,,,,,,,
,,Area actually reporting,1,659,7,54,43,555,4197,1988,1869,340
,,Estimated total,1,784,8,64,51,661,4998,2367,2226,405
,State Total,,2085538,11660,116,957,1847,8740,75094,21384,48247,5463
,,"Rate per 100,000 inhabitants",,559,6,46,89,419,3601,1025,2313,262
NEW YORK3,Metropolitan Statistical Area,,18146686,,,,,,,,,
,,Area actually reporting,1,77229,666,2518,28297,45748,344885,57785,270535,16565
,,Estimated total,1,77445,668,2533,28361,45883,347280,58219,272403,16658
,Cities outside metropolitan areas,,528831,,,,,,,,,
,,Area actually reporting,1,1194,4,144,215,831,15505,2910,12298,297
,,Estimated total,1,1224,4,148,220,852,15894,2983,12607,304
,Nonmetropolitan counties,,894744,,,,,,,,,
,,Area actually reporting,1,941,12,167,74,688,12966,3351,9229,386
,State Total,,19570261,79610,684,2848,28655,47423,376140,64553,294239,17348
,,"Rate per 100,000 inhabitants",,407,4,15,146,242,1922,330,1504,89
NORTH CAROLINA,Metropolitan Statistical Area,,7523905,,,,,,,,,
,,Area actually reporting,1,26943,329,1513,7833,17268,252494,72337,167235,12922
,,Estimated total,1,27088,329,1522,7868,17369,254349,72825,168531,12993
,Cities outside metropolitan areas,,642467,,,,,,,,,
,,Area actually reporting,1,3642,59,179,934,2470,33453,9006,23277,1170
,,Estimated total,1,3966,64,195,1017,2690,36434,9809,25351,1274
,Nonmetropolitan counties,,1585701,,,,,,,,,
,,Area actually reporting,1,3330,84,261,495,2490,36926,16298,18818,1810
,,Estimated total,1,3410,86,267,507,2550,37811,16689,19269,1853
,State Total,,9752073,34464,479,1984,9392,22609,328594,99323,213151,16120
,,"Rate per 100,000 inhabitants",,353,5,20,96,232,3370,1019,2186,165
NORTH DAKOTA,Metropolitan Statistical Area,,343667, ,,,,,,,,
,,Area actually reporting,1,1063,6,164,105,788,8129,1388,6244,497
,Cities outside metropolitan areas,,161463,,,,,,,,,
,,Area actually reporting,1,452,13,79,20,340,3861,527,2938,396
,,Estimated total,1,480,14,84,21,361,4104,560,3123,421
,Nonmetropolitan counties,,194498,,,,,,,,,
,,Area actually reporting,1,168,8,24,5,131,1819,426,1161,232
,,Estimated total,1,169,8,24,5,132,1830,429,1168,233
,State Total,,699628,1712,28,272,131,1281,14063,2377,10535,1151
,,"Rate per 100,000 inhabitants",,245,4,39,19,183,2010,340,1506,165
OHIO,Metropolitan Statistical Area,,9153765,,,,,,,,,
,,Area actually reporting,1,30974,446,3052,14314,13162,284666,84284,183037,17345
,,Estimated total,1,31824,454,3183,14629,13558,300466,87578,195002,17886
,Cities outside metropolitan areas,,1039632,,,,,,,,,
,,Area actually reporting,1,1302,12,233,368,689,30130,6707,22769,654
,,Estimated total,1,1627,15,291,460,861,37668,8385,28465,818
,Nonmetropolitan counties,,1350828,,,,,,,,,
,,Area actually reporting,1,1116,25,180,142,769,21225,7278,13158,789
,,Estimated total,1,1144,26,184,146,788,21749,7458,13483,808
,State Total,,11544225,34595,495,3658,15235,15207,359883,103421,236950,19512
,,"Rate per 100,000 inhabitants",,300,4,32,132,132,3117,896,2053,169
OKLAHOMA,Metropolitan Statistical Area,,2465038,,,,,,,,,
,,Area actually reporting,1,13374,171,1124,2858,9221,94951,26135,59466,9350
,Cities outside metropolitan areas,,722935,,,,,,,,,
,,Area actually reporting,1,3541,25,348,334,2834,26958,6760,18703,1495
,,Estimated total,1,3544,25,348,334,2837,26989,6768,18724,1497
,Nonmetropolitan counties,,626847,,,,,,,,,
,,Area actually reporting,1,984,20,116,39,809,7803,2828,4258,717
,State Total,,3814820,17902,216,1588,3231,12867,129743,35731,82448,11564
,,"Rate per 100,000 inhabitants",,469,6,42,85,337,3401,937,2161,303
OREGON,Metropolitan Statistical Area,,3241382,,,,,,,,,
,,Area actually reporting,1,8356,73,965,2216,5102,106863,17850,79987,9026
,,Estimated total,1,8363,73,966,2218,5106,106966,17866,80066,9034
,Cities outside metropolitan areas,,306270,,,,,,,,,
,,Area actually reporting,1,837,12,107,143,575,11997,2247,9115,635
,,Estimated total,1,938,13,120,160,645,13451,2519,10220,712
,Nonmetropolitan counties,,351701,,,,,,,,,
,,Area actually reporting,1,346,6,53,34,253,5221,1492,3279,450
,,Estimated total,1,352,6,54,35,257,5306,1516,3333,457
,State Total,,3899353,9653,92,1140,2413,6008,125723,21901,93619,10203
,,"Rate per 100,000 inhabitants",,248,2,29,62,154,3224,562,2401,262
PENNSYLVANIA,Metropolitan Statistical Area,,11253278,,,,,,,,,
,,Area actually reporting,1,41344,648,2800,15353,22543,250881,50686,186047,14148
,,Estimated total,1,41463,649,2807,15387,22620,252060,50881,186992,14187
,Cities outside metropolitan areas,,684242,,,,,,,,,
,,Area actually reporting,1,1835,7,127,171,1530,12595,2200,10096,299
,,Estimated total,1,1888,7,131,176,1574,12956,2263,10385,308
,Nonmetropolitan counties,,826016,,,,,,,,,
,,Area actually reporting,1,1152,29,389,110,624,11480,3715,7232,533
,State Total,,12763536,44503,685,3327,15673,24818,276496,56859,204609,15028
,,"Rate per 100,000 inhabitants",,349,5,26,123,194,2166,446,1603,118
PUERTO RICO,Metropolitan Statistical Area,,3509567,,,,,,,,,
,,Area actually reporting,1,9713,948,29,6191,2545,49475,14465,29239,5771
,Cities outside metropolitan areas,,157517,,,,,,,,,
,,Area actually reporting,1,328,30,3,107,188,2204,822,1306,76
,Total,,3667084,10041,978,32,6298,2733,51679,15287,30545,5847
,,"Rate per 100,000 inhabitants",,274,27,1,172,75,1409,417,833,159
RHODE ISLAND,Metropolitan Statistical Area,,1050292,,,,,,,,,
,,Area actually reporting,1,2628,32,281,713,1602,26928,5947,18419,2562
,Cities outside metropolitan areas,,None,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,
,,Area actually reporting,1,23,2,7,0,14,89,2,21,66
,State Total,,1050292,2651,34,288,713,1616,27017,5949,18440,2628
,,"Rate per 100,000 inhabitants",,252,3,27,68,154,2572,566,1756,250
SOUTH CAROLINA,Metropolitan Statistical Area,,3956484,,,,,, ,,,
,,Area actually reporting,1,21468,260,1423,3852,15933,149317,35981,102169,11167
,,Estimated total,1,21497,260,1425,3857,15955,149576,36027,102369,11180
,Cities outside metropolitan areas,,211649,,,,,,,,,
,,Area actually reporting,1,2193,20,92,379,1702,12872,3389,8985,498
,,Estimated total,1,2238,20,94,387,1737,13138,3459,9171,508
,Nonmetropolitan counties,,555590,,,,,,,,,
,,Area actually reporting,1,2662,44,160,245,2213,17836,5600,10723,1513
,State Total,,4723723,26397,324,1679,4489,19905,180550,45086,122263,13201
,,"Rate per 100,000 inhabitants",,559,7,36,95,421,3822,955,2588,280
SOUTH DAKOTA,Metropolitan Statistical Area,,388098, ,,,,,,,,
,,Area actually reporting,1,1248,6,300,125,817,10297,1901,7776,620
,,Estimated total,1,1252,6,301,125,820,10336,1906,7808,622
,Cities outside metropolitan areas,,219788,,,,,,,,,
,,Area actually reporting,1,1179,10,232,28,909,5231,956,3948,327
,,Estimated total,1,1238,11,244,29,954,5492,1004,4145,343
,Nonmetropolitan counties,,225468,,,,,,,,,
,,Area actually reporting,1,149,6,31,3,109,1041,270,693,78
