Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2010",,,,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",
,Nonmetropolitan counties,,1196740,,,,,,,,,,
,,Area actually reporting,1,2263,20,676,58,1509,17310,5822,10722,766,
,,Estimated total,1,2391,21,714,61,1595,18291,6152,11330,809,
,State Total, ,9883640,48460,567,4673,11493,31727,268201,73868,166980,27353,
,,"Rate per 100,000 inhabitants",,490,6,47,116,321,2714,747,1690,277,
MINNESOTA3,Metropolitan Statistical Area,,3989141,,,,,,,,,,
,,Area actually reporting,1,,89,,3288,5816,112030,19286,85447,7297,
,,Estimated total,1,,89,,3294,5830,112526,19352,85856,7318,
,Cities outside metropolitan areas,,494530,,,,,,,,,,
,,Area actually reporting,1,,3,,70,842,13670,2076,11009,585,
,,Estimated total,1,,3,,70,845,13724,2084,11053,587,
,Nonmetropolitan counties,,820254,,,,,,,,,,
,,Area actually reporting,1,,4,,24,548,9997,2925,6402,670,
,,Estimated total,1,,4,,24,558,10181,2979,6520,682,
,State Total,,5303925,12515,96,1798,3388,7233,136431,24415,103429,8587,
,,"Rate per 100,000 inhabitants",,236,2,34,64,136,2572,460,1950,162,
MISSISSIPPI,Metropolitan Statistical Area,,1326220, ,,,,,,,,,
,,Area actually reporting,1,3693,83,428,1665,1517,43229,13289,26685,3255,
,,Estimated total,1,3898,89,466,1706,1637,46144,14194,28488,3462,
,Cities outside metropolitan areas,,600833,,,,,,,,,,
,,Area actually reporting,1,1977,50,205,649,1073,23184,8073,14229,882,
,,Estimated total,1,2308,58,239,758,1253,27065,9424,16611,1030,
,Nonmetropolitan counties,,1040244,,,,,,,,,,
,,Area actually reporting,1,1091,37,135,191,728,9326,4143,4656,527,
,,Estimated total,1,1797,61,222,315,1199,15365,6826,7671,868,
,State Total,,2967297,8003,208,927,2779,4089,88574,30444,52770,5360,
,,"Rate per 100,000 inhabitants",,270,7,31,94,138,2985,1026,1778,181,
MISSOURI,Metropolitan Statistical Area,,4517557, ,,,,,,,,,
,,Area actually reporting,1,22830,353,1189,5837,15451,164192,35093,114672,14427,
,,Estimated total,1,22835,353,1189,5838,15455,164263,35106,114725,14432,
,Cities outside metropolitan areas,,638289,,,,,,,,,,
,,Area actually reporting,1,2475,22,139,245,2069,24153,4594,18743,816,
,,Estimated total,1,2515,22,141,249,2103,24554,4670,19054,830,
,Nonmetropolitan counties,,833081,,,,,,,,,,
,,Area actually reporting,1,1887,45,101,45,1696,11505,4233,6489,783,
,,Estimated total,1,1902,45,102,45,1710,11597,4267,6541,789,
,State Total,,5988927,27252,420,1432,6132,19268,200414,44043,140320,16051,
,,"Rate per 100,000 inhabitants",,455,7,24,102,322,3346,735,2343,268,
MONTANA,Metropolitan Statistical Area,,350785, ,,,,,,,,,
,,Area actually reporting,1,787,8,66,97,616,12170,1711,9758,701,
,Cities outside metropolitan areas,,217382,,,,,,,,,,
,,Area actually reporting,1,945,8,151,41,745,7107,955,5731,421,
,,Estimated total,1,959,8,153,42,756,7213,969,5817,427,
,Nonmetropolitan counties,,421248,,,,,,,,,,
,,Area actually reporting,1,930,10,100,18,802,5683,957,4335,391,
,,Estimated total,1,947,10,102,18,817,5786,974,4414,398,
,State Total,,989415,2693,26,321,157,2189,25169,3654,19989,1526,
,,"Rate per 100,000 inhabitants",,272,3,32,16,221,2544,369,2020,154,
NEBRASKA,Metropolitan Statistical Area,,1077532,,,,,,,,,,
,,Area actually reporting,1,3920,40,413,945,2522,33263,5491,24844,2928,
,,Estimated total,1,3944,40,415,946,2543,33561,5560,25052,2949,
,Cities outside metropolitan areas,,391292,,,,,,,,,,
,,Area actually reporting,1,837,9,196,67,565,11230,1784,9002,444,
,,Estimated total,1,889,10,208,71,600,11924,1894,9559,471,
,Nonmetropolitan counties,,357517,,,,,,,,,,
,,Area actually reporting,1,216,3,39,6,168,2666,697,1814,155,
,,Estimated total,1,271,4,49,8,210,3336,872,2270,194,
,State Total,,1826341,5104,54,672,1025,3353,48821,8326,36881,3614,
,,"Rate per 100,000 inhabitants",,280,3,37,56,184,2673,456,2019,198,
NEVADA,Metropolitan Statistical Area,,2431751,,,,,,,,,,
,,Area actually reporting,1,16860,149,884,5215,10612,69956,20645,39512,9799,
,Cities outside metropolitan areas,,47206,,,,,,,,,,
,,Area actually reporting,1,250,0,28,27,195,1512,448,974,90,
,Nonmetropolitan counties,,221594,,,,,,,,,,
,,Area actually reporting,1,731,9,53,56,613,3464,1133,2035,296,
,State Total,,2700551,17841,158,965,5298,11420,74932,22226,42521,10185,
,,"Rate per 100,000 inhabitants",,661,6,36,196,423,2775,823,1575,377,
NEW HAMPSHIRE,Metropolitan Statistical Area,,823922,,,,,,,,,,
,,Area actually reporting,1,1426,9,226,327,864,16408,3144,12660,604,
,,Estimated total,1,1490,9,238,339,904,17349,3309,13402,638,
,Cities outside metropolitan areas,,442399,,,,,,,,,,
,,Area actually reporting,1,592,4,144,99,345,9966,1791,7891,284,
,,Estimated total,1,660,4,161,110,385,11111,1997,8797,317,
,Nonmetropolitan counties,,50149,,,,,,,,,,
,,Area actually reporting,0,15,0,3,1,11,91,9,80,2,
,,Estimated total,1,48,0,13,2,33,322,135,174,13,
,State Total,,1316470,2198,13,412,451,1322,28782,5441,22373,968,
,,"Rate per 100,000 inhabitants",,167,1,31,34,100,2186,413,1700,74,
NEW JERSEY,Metropolitan Statistical Area,,8791894,,,,,,,,,,
,,Area actually reporting,1,27055,371,981,11818,13885,183042,38732,128754,15556,
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,8791894,27055,371,981,11818,13885,183042,38732,128754,15556,
,,"Rate per 100,000 inhabitants",,308,4,11,134,158,2082,441,1465,177,
NEW MEXICO,Metropolitan Statistical Area,,1375520, ,,,,, ,,,,
,,Area actually reporting,1,8012,74,600,1303,6035,49468,13823,31439,4206,
,,Estimated total,1,8034,74,601,1304,6055,49602,13855,31532,4215,
,Cities outside metropolitan areas,,391114,,,,,,,,,,
,,Area actually reporting,1,3150,49,251,262,2588,16592,4931,10962,699,
,,Estimated total,1,3226,50,257,268,2651,16993,5050,11227,716,
,Nonmetropolitan counties,,292545,,,,,,,,,,
,,Area actually reporting,1,820,17,95,40,668,3924,1996,1629,299,
,,Estimated total,1,866,18,100,42,706,4147,2109,1722,316,
,State Total,,2059179,12126,142,958,1614,9412,70742,21014,44481,5247,
,,"Rate per 100,000 inhabitants",,589,7,47,78,457,3435,1021,2160,255,
NEW YORK,Metropolitan Statistical Area,,17857493,,,,,,,,,,
,,Area actually reporting,1,73208,842,2412,28113,41841,343968,57773,266598,19597,
,,Estimated total,1,73319,843,2417,28153,41906,345218,57967,267615,19636,
,Cities outside metropolitan areas,,558102,,,,,,,,,,
,,Area actually reporting,1,1527,15,169,232,1111,16774,3143,13294,337,
,,Estimated total,1,1564,15,173,238,1138,17185,3220,13620,345,
,Nonmetropolitan counties,,962507,,,,,,,,,,
,,Area actually reporting,1,1094,8,181,82,823,13758,3786,9520,452,
,State Total,,19378102,75977,866,2771,28473,43867,376161,64973,290755,20433,
,,"Rate per 100,000 inhabitants",,392,5,14,147,226,1941,335,1500,105,
NORTH CAROLINA,Metropolitan Statistical Area,,6758596,,,,,,,,,,
,,Area actually reporting,1,24673,314,1441,7575,15343,232547,68270,150510,13767,
,,Estimated total,1,25045,319,1467,7648,15611,237265,69684,153567,14014,
,Cities outside metropolitan areas,,852780,,,,,,,,,,
,,Area actually reporting,1,4523,64,213,1201,3045,41005,11567,27920,1518,
,,Estimated total,1,5002,71,236,1327,3368,45356,12796,30882,1678,
,Nonmetropolitan counties,,1924107,,,,,,,,,,
,,Area actually reporting,1,4337,81,292,598,3366,43400,19027,21908,2465,
,,Estimated total,1,4606,86,310,635,3575,46098,20210,23270,2618,
,State Total,,9535483,34653,476,2013,9610,22554,328719,102690,207719,18310,
,,"Rate per 100,000 inhabitants",,363,5,21,101,237,3447,1077,2178,192,
NORTH DAKOTA,Metropolitan Statistical Area,,331649, ,,,,,,,,,
,,Area actually reporting,1,746,3,127,64,552,7191,1117,5657,417,
,Cities outside metropolitan areas,,148656,,,,,,,,,,
,,Area actually reporting,1,642,4,82,23,533,3365,553,2511,301,
,,Estimated total,1,681,4,87,24,566,3573,587,2666,320,
,Nonmetropolitan counties,,192286,,,,,,,,,,
,,Area actually reporting,1,83,3,22,2,56,1101,255,727,119,
,,Estimated total,1,86,3,23,2,58,1131,262,747,122,
,State Total,,672591,1513,10,237,90,1176,11895,1966,9070,859,
,,"Rate per 100,000 inhabitants",,225,2,35,13,175,1769,292,1349,128,
OHIO,Metropolitan Statistical Area,,9328810,,,,,,,,,,
,,Area actually reporting,1,32775,443,3115,15572,13645,309593,90562,200027,19004,
,,Estimated total,1,33470,445,3217,15835,13973,321443,93031,208990,19422,
,Cities outside metropolitan areas,,930069,,,,,,,,,,
,,Area actually reporting,1,1376,14,256,415,691,28006,5777,21569,660,
,,Estimated total,1,1694,17,315,511,851,34497,7116,26568,813,
,Nonmetropolitan counties,,1277625,,,,,,,,,,
,,Area actually reporting,1,1096,13,152,121,810,16821,5814,10202,805,
,,Estimated total,1,1202,14,167,133,888,18441,6374,11184,883,
,State Total,,11536504,36366,476,3699,16479,15712,374381,106521,246742,21118,
,,"Rate per 100,000 inhabitants",,315,4,32,143,136,3245,923,2139,183,
OKLAHOMA,Metropolitan Statistical Area,,2407430,,,,,,,,,,
,,Area actually reporting,1,13598,145,1034,2964,9455,92843,27301,57313,8229,
,Cities outside metropolitan areas,,725417,,,,,,,,,,
,,Area actually reporting,1,3235,32,282,341,2580,27021,7010,18743,1268,
,,Estimated total,1,3259,32,284,344,2599,27225,7063,18884,1278,
,Nonmetropolitan counties,,618504,,,,,,,,,,
,,Area actually reporting,1,1130,18,132,29,951,8058,3112,4263,683,
,State Total,,3751351,17987,195,1450,3337,13005,128126,37476,80460,10190,
,,"Rate per 100,000 inhabitants",,480,5,39,89,347,3416,999,2145,272,
OREGON2,Metropolitan Statistical Area,,2998714,,,,,,,,,,
,,Area actually reporting,1,7960,59,944,2127,4830,91148,14508,68989,7651,
,,Estimated total,1,8138,61,970,2157,4950,93185,14920,70469,7796,
,Cities outside metropolitan areas,,390919,,,,,,,,,,
,,Area actually reporting,1,891,11,146,167,567,13419,2389,10497,533,
,,Estimated total,1,1028,13,168,193,654,15481,2756,12110,615,
,Nonmetropolitan counties,,441441,,,,,,,,,,
,,Area actually reporting,1,367,13,57,30,267,5072,1471,3225,376,
,,Estimated total,1,489,17,76,40,356,6762,1961,4300,501,
,State Total,,3831074,9655,91,1214,2390,5960,115428,19637,86879,8912,
,,"Rate per 100,000 inhabitants",,252,2,32,62,156,3013,513,2268,233,
PENNSYLVANIA,Metropolitan Statistical Area,,10710034,,,,,,,,,,
,,Area actually reporting,1,42240,601,2768,15878,22993,241670,46958,179314,15398,
,,Estimated total,1,42396,601,2777,15919,23099,243093,47187,180455,15451,
,Cities outside metropolitan areas,,931295,,,,,,,,,,
,,Area actually reporting,1,2294,20,198,285,1791,18609,3536,14520,553,
,,Estimated total,1,2373,21,205,295,1852,19241,3656,15013,572,
,Nonmetropolitan counties,,1061050,,,,,,,,,,
,,Area actually reporting,1,1745,35,433,148,1129,13689,4328,8715,646,
,State Total,,12702379,46514,657,3415,16362,26080,276023,55171,204183,16669,
,,"Rate per 100,000 inhabitants",,366,5,27,129,205,2173,434,1607,131,
RHODE ISLAND,Metropolitan Statistical Area,,1052567,,,,,,,,,,
,,Area actually reporting,1,2696,28,296,780,1592,26831,6121,18367,2343,
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,1,5,1,0,0,4,79,0,23,56,
,State Total,,1052567,2701,29,296,780,1596,26910,6121,18390,2399,
,,"Rate per 100,000 inhabitants",,257,3,28,74,152,2557,582,1747,228,
SOUTH CAROLINA,Metropolitan Statistical Area,,3549779,,,,,, ,,,,
,,Area actually reporting,1,20477,197,1155,3920,15205,137670,33747,93517,10406,
,,Estimated total,1,20503,197,1156,3924,15226,137869,33784,93669,10416,
,Cities outside metropolitan areas,,282845,,,,,,,,,,
,,Area actually reporting,1,2868,20,118,527,2203,15111,3738,10766,607,
,,Estimated total,1,2934,20,121,539,2254,15463,3825,11017,621,
