Table 5,,,,,,,,,,,,,
Crime in the United States,,,, ,,,,,,,,,
"by State, 2014",,,,,,,, ,,,,,
State,Area,,Population,Violent crime1,"Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
,,Estimated total,1,44639,665,3690,2735,15060,25224,244145,44777,182621,16747
,Cities outside metropolitan areas,,832015,,,,,,,,,,
,,Area actually reporting,1,2049,15,296,221,184,1554,15693,3139,12141,413
,,Estimated total,1,2377,17,341,260,214,1805,18227,3646,14101,480
,Nonmetropolitan counties,,667694,,,,,,,,,,
,,Area actually reporting,1,599,3,114,78,23,459,4691,1483,2998,210
,,Estimated total,1,647,3,128,86,25,491,5013,1585,3204,224
,State Total,,12880580,47663,685,4159,3081,15299,27520,267385,50008,199926,17451
,,"Rate per 100,000 inhabitants",,370,5,32,24,119,214,2076,388,1552,136
INDIANA5,Metropolitan Statistical Area,,5123600,,,,,,,,,,
,,Area actually reporting,1,20655,289,1742,1283,6514,12110,139542,30229,97466,11847
,,Estimated total,1,21655,300,1851,1364,6697,12807,149875,31963,105352,12560
,Cities outside metropolitan areas, ,520959,,,,,,,,,,
,,Area actually reporting,1,923,2,136,103,102,683,10928,1530,8854,544
,,Estimated total,1,1352,3,199,153,149,1001,16013,2242,12974,797
,Nonmetropolitan counties,,952296,,,,,,,,,,
,,Area actually reporting,1,764,19,90,70,36,619,6266,1895,4016,355
,,Estimated total,1,1092,27,136,98,51,878,8888,2688,5696,504
,State Total,,6596855,24099,330,2186,1615,6897,14686,174776,36893,124022,13861
,,"Rate per 100,000 inhabitants",,365,5,33,25,105,223,2649,559,1880,210
IOWA4,Metropolitan Statistical Area,,1816911, ,,,,,,,,,
,,Area actually reporting,1,5597,37,761,576,916,3883,45159,9323,32729,3107
,,Estimated total,1,5673,38,777,587,919,3939,45646,9453,33049,3144
,Cities outside metropolitan areas,,601521,,,,,,,,,,
,,Area actually reporting,1,1811,15,220,151,106,1470,13720,2995,10125,600
,,Estimated total,1,1980,16,243,168,116,1605,14984,3271,11058,655
,Nonmetropolitan counties,,688694,,,,,,,,,,
,,Area actually reporting,1,726,5,90,62,9,622,3824,1472,2048,304
,,Estimated total,1,844,6,108,73,10,720,4426,1704,2370,352
,State Total,,3107126,8497,60,1128,828,1045,6264,65056,14428,46477,4151
,,"Rate per 100,000 inhabitants",,274,2,36,27,34,202,2094,464,1496,134
KANSAS4,Metropolitan Statistical Area,,1950218, ,,,,,,,,,
,,Area actually reporting,1,7209,75,985,756,1202,4947,55694,10119,39991,5584
,,Estimated total,1,7262,75,991,760,1208,4988,56297,10220,40448,5629
,Cities outside metropolitan areas,,612758,,,,,,,,,,
,,Area actually reporting,1,2062,11,325,251,132,1594,17440,3655,12934,851
,,Estimated total,1,2161,12,337,261,139,1673,18303,3836,13574,893
,Nonmetropolitan counties,,341045,,,,,,,,,,
,,Area actually reporting,1,673,4,79,51,14,576,4656,1708,2578,370
,,Estimated total,1,700,4,83,54,15,598,4831,1772,2675,384
,State Total,,2904021,10123,91,1411,1075,1362,7259,79431,15828,56697,6906
,,"Rate per 100,000 inhabitants",,349,3,49,37,47,250,2735,545,1952,238
KENTUCKY4,Metropolitan Statistical Area,,2574779, ,,,,,, ,,,
,,Area actually reporting,1,7057,100,727,420,2827,3403,72864,15478,52618,4768
,,Estimated total,1,7065,100,727,420,2831,3407,72991,15502,52715,4774
,Cities outside metropolitan areas,,538647,,,,,,,,,,
,,Area actually reporting,1,869,11,173,135,315,370,14649,2799,11298,552
,,Estimated total,1,887,11,175,137,322,379,14995,2865,11565,565
,Nonmetropolitan counties,,1300031,,,,,,,,,,
,,Area actually reporting,1,1378,49,534,323,182,613,11093,4839,5283,971
,,Estimated total,1,1388,49,538,326,183,618,11180,4877,5324,979
,State Total,,4413457,9340,160,1440,883,3336,4404,99166,23244,69604,6318
,,"Rate per 100,000 inhabitants",,212,4,33,20,76,100,2247,527,1577,143
LOUISIANA4,Metropolitan Statistical Area,,3882923, ,,,,,, ,,,
,,Area actually reporting,1,20348,413,1148,833,5252,13535,136338,32197,95266,8875
,,Estimated total,1,20567,414,1161,844,5286,13706,138370,32569,96799,9002
,Cities outside metropolitan areas,,274036,,,,,,,,,,
,,Area actually reporting,1,1702,30,85,62,253,1334,11295,2718,8275,302
,,Estimated total,1,2142,38,109,82,318,1677,14197,3416,10401,380
,Nonmetropolitan counties,,492717,,,,,,,,,,
,,Area actually reporting,1,1225,25,105,66,91,1004,8257,2352,5396,509
,State Total,,4649676,23934,477,1375,992,5695,16387,160824,38337,112596,9891
,,"Rate per 100,000 inhabitants",,515,10,30,21,123,352,3459,825,2422,213
MAINE5,Metropolitan Statistical Area,,783169,,,,,,,,,,
,,Area actually reporting,1,984,13,247,187,215,509,16216,3083,12662,471
,Cities outside metropolitan areas,,266485,,,,,,,,,,
,,Area actually reporting,1,476,4,158,121,71,243,7036,1013,5836,187
,Nonmetropolitan counties,,280435,,,,,,,,,,
,,Area actually reporting,1,240,4,80,52,18,138,3169,934,2094,141
,State Total,,1330089,1700,21,485,360,304,890,26421,5030,20592,799
,,"Rate per 100,000 inhabitants",,128,2,37,27,23,67,1986,378,1548,60
MARYLAND,Metropolitan Statistical Area,,5823196,,,,,,,,,,
,,Area actually reporting,1,26186,360,1583,1118,9488,14755,146392,27175,106222,12995
,Cities outside metropolitan areas,,53207,,,,,,,,,,
,,Area actually reporting,1,310,2,23,18,43,242,2015,347,1624,44
,Nonmetropolitan counties,,100004,,,,,,,,,,
,,Area actually reporting,1,165,3,13,8,13,136,1452,490,899,63
,State Total,,5976407,26661,365,1619,1144,9544,15133,149859,28012,108745,13102
,,"Rate per 100,000 inhabitants",,446,6,27,19,160,253,2508,469,1820,219
MASSACHUSETTS5,Metropolitan Statistical Area,,6646017,,,,,,,,,,
,,Area actually reporting,1,25694,131,2093,1576,5940,17530,121137,23956,89098,8083
,,Estimated total,1,26077,132,2130,1604,6010,17805,123126,24348,90571,8207
,Cities outside metropolitan areas,,91692,,,,,,,,,,
,,Area actually reporting,1,237,0,30,12,20,187,1645,473,1131,41
,,Estimated total,1,310,0,41,19,26,243,2141,616,1472,53
,Nonmetropolitan counties,,7699,,,,,,,,,,
,,Area actually reporting,1,12,0,9,6,0,3,0,0,0,0
,State Total,,6745408,26399,132,2180,1629,6036,18051,125267,24964,92043,8260
,,"Rate per 100,000 inhabitants",,391,2,32,24,90,268,1857,370,1365,123
MICHIGAN4,Metropolitan Statistical Area,,8107118,,,,,,,,,,
,,Area actually reporting,1,37965,504,4630,2989,7858,24973,174589,38467,115908,20214
,,Estimated total,1,38176,505,4674,3021,7896,25101,176132,38736,117069,20327
,Cities outside metropolitan areas,,603680,,,,,,,,,,
,,Area actually reporting,1,1324,8,496,309,71,749,11588,1441,9848,299
,,Estimated total,1,1491,9,567,363,79,836,12929,1608,10987,334
,Nonmetropolitan counties,,1199079,,,,,,,,,,
,,Area actually reporting,1,2554,20,971,625,44,1519,12950,3687,8787,476
,,Estimated total,1,2681,21,1032,665,46,1582,13486,3840,9150,496
,State Total, ,9909877,42348,535,6273,4049,8021,27519,202547,44184,137206,21157
,,"Rate per 100,000 inhabitants",,427,5,63,41,81,278,2044,446,1385,214
MINNESOTA4,Metropolitan Statistical Area,,4216484,,,,,,,,,,
,,Area actually reporting,1,10578,77,1494,1095,3530,5477,103320,16621,79633,7066
,,Estimated total,1,10579,77,1494,1095,3530,5478,103337,16623,79647,7067
,Cities outside metropolitan areas,,490823,,,,,,,,,,
,,Area actually reporting,1,1110,7,269,199,127,707,13223,1796,10765,662
,Nonmetropolitan counties,,749866,,,,,,,,,,
,,Area actually reporting,1,816,4,238,158,30,544,8817,2354,5825,638
,State Total,,5457173,12505,88,2001,1452,3687,6729,125377,20773,96237,8367
,,"Rate per 100,000 inhabitants",,229,2,37,27,68,123,2298,381,1764,153
MISSISSIPPI5,Metropolitan Statistical Area,,1365250, ,,,,,,,,,
,,Area actually reporting,1,3137,104,400,299,1214,1419,32956,8088,22660,2208
,,Estimated total,1,3739,122,463,346,1344,1810,40942,9959,28361,2622
,Cities outside metropolitan areas,,588934,,,,,,,,,,
,,Area actually reporting,0,1404,40,150,111,444,770,15536,4055,10933,548
,,Estimated total,1,2898,82,311,238,916,1589,32064,8369,22564,1131
,Nonmetropolitan counties,,1039895,,,,,,,,,,
,,Area actually reporting,0,716,23,115,73,72,506,6134,2556,3253,325
,,Estimated total,1,1701,54,284,180,170,1193,14456,6024,7666,766
,State Total,,2994079,8338,258,1058,764,2430,4592,87462,24352,58591,4519
,,"Rate per 100,000 inhabitants",,279,9,35,26,81,153,2921,813,1957,151
MISSOURI4,Metropolitan Statistical Area,,4507971, ,,,,,,,,,
,,Area actually reporting,1,22257,348,2002,1441,5295,14612,140143,27421,98371,14351
,,Estimated total,1,22258,348,2002,1441,5295,14613,140163,27424,98387,14352
,Cities outside metropolitan areas,,665780,,,,,,,,,,
,,Area actually reporting,1,2649,22,217,160,255,2155,24487,4085,19441,961
,,Estimated total,1,2658,22,217,160,256,2163,24581,4101,19515,965
,Nonmetropolitan counties,,889838,,,,,,,,,,
,,Area actually reporting,1,1940,33,160,105,41,1706,11493,3733,6720,1040
,State Total,,6063589,26856,403,2379,1706,5592,18482,176237,35258,124622,16357
,,"Rate per 100,000 inhabitants",,443,7,39,28,92,305,2907,582,2055,270
MONTANA4,Metropolitan Statistical Area,,362656, ,,,,,,,,,
,,Area actually reporting,1,1049,14,191,145,133,711,11788,1538,9329,921
,Cities outside metropolitan areas,,215364,,,,,,,,,,
,,Area actually reporting,1,1169,14,196,160,42,917,7073,976,5514,583
,,Estimated total,1,1194,14,201,164,43,936,7219,996,5628,595
,Nonmetropolitan counties,,445559,,,,,,,,,,
,,Area actually reporting,1,1003,8,138,114,25,832,5930,998,4436,496
,,Estimated total,1,1070,9,149,121,27,885,6305,1061,4717,527
,State Total,,1023579,3313,37,541,430,203,2532,25312,3595,19674,2043
,,"Rate per 100,000 inhabitants",,324,4,53,42,20,247,2473,351,1922,200
NEBRASKA5,Metropolitan Statistical Area,,1210548,,,,,,,,,,
,,Area actually reporting,1,4086,42,588,427,987,2469,36129,5735,26472,3922
,,Estimated total,1,4097,42,591,430,989,2475,36288,5759,26599,3930
,Cities outside metropolitan areas,,338087,,,,,,,,,,
,,Area actually reporting,1,817,4,191,139,45,577,7954,1360,6279,315
,,Estimated total,1,900,4,213,157,49,634,8736,1494,6896,346
,Nonmetropolitan counties,,332868,,,,,,,,,,
,,Area actually reporting,1,214,6,41,24,4,163,1933,549,1243,141
,,Estimated total,1,278,8,58,33,5,207,2455,697,1579,179
,State Total,,1881503,5275,54,862,620,1043,3316,47479,7950,35074,4455
,,"Rate per 100,000 inhabitants",,280,3,46,33,55,176,2524,423,1864,237
NEVADA4,Metropolitan Statistical Area,,2565531,,,,,,,,,,
,,Area actually reporting,1,17199,157,1233,909,5903,9906,69217,20344,39084,9789
,Cities outside metropolitan areas,,48964,,,,,,,,,,
,,Area actually reporting,1,348,4,45,34,17,282,1931,555,1235,141
,Nonmetropolitan counties,,224604,,,,,,,,,,
,,Area actually reporting,1,486,9,76,50,33,368,3321,1007,2064,250
,,Estimated total,1,498,9,79,52,34,376,3390,1028,2107,255
,State Total,,2839099,18045,170,1357,995,5954,10564,74538,21927,42426,10185
,,"Rate per 100,000 inhabitants",,636,6,48,35,210,372,2625,772,1494,359
NEW HAMPSHIRE4,Metropolitan Statistical Area,,830790,,,,,,,,,,
,,Area actually reporting,1,1702,11,323,250,421,947,15633,2403,12679,551
,,Estimated total,1,1745,11,336,261,428,970,16125,2474,13085,566
,Cities outside metropolitan areas,,442983,,,,,,,,,,
,,Area actually reporting,1,684,1,206,158,93,384,8304,1379,6686,239
,,Estimated total,1,795,1,244,188,107,443,9575,1590,7709,276
,Nonmetropolitan counties,,53040,,,,,,,,,,
,,Area actually reporting,1,62,0,14,9,2,46,341,98,228,15
,State Total,,1326813,2602,12,594,458,537,1459,26041,4162,21022,857
,,"Rate per 100,000 inhabitants",,196,1,45,35,41,110,1963,314,1584,65
NEW JERSEY,Metropolitan Statistical Area,,8938175,,,,,,,,,,
,,Area actually reporting,1,23346,349,1274,953,10498,11225,154993,31710,111578,11705
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,8938175,23346,349,1274,953,10498,11225,154993,31710,111578,11705
,,"Rate per 100,000 inhabitants",,261,4,14,11,118,126,1734,355,1248,131
NEW MEXICO,Metropolitan Statistical Area,,1390853, ,,,,,, ,,,
,,Area actually reporting,1,8653,63,1031,751,1771,5788,51763,12135,34681,4947
,,Estimated total,1,8656,63,1031,751,1771,5791,51785,12140,34697,4948
,Cities outside metropolitan areas,,397993,,,,,,,,,,
,,Area actually reporting,1,2847,28,338,252,259,2222,17471,4290,12284,897
,,Estimated total,1,2908,29,345,257,265,2269,17844,4382,12546,916
,Nonmetropolitan counties,,296726,,,,,,,,,,
,,Area actually reporting,1,828,8,91,58,46,683,3937,1838,1704,395
,,Estimated total,1,895,9,99,63,50,737,4248,1983,1839,426
,State Total,,2085572,12459,101,1475,1071,2086,8797,73877,18505,49082,6290
,,"Rate per 100,000 inhabitants",,597,5,71,51,100,422,3542,887,2353,302
NEW YORK5,Metropolitan Statistical Area,,18339380,,,,,,,,,,
,,Area actually reporting,1,72890,588,4591,3349,23787,43924,314802,45880,253815,15107
,,Estimated total,1,72930,588,4592,3350,23802,43948,315220,45937,254164,15119
,Cities outside metropolitan areas,,518307,,,,,,,,,,
,,Area actually reporting,1,1187,10,229,168,190,758,13033,2274,10503,256
,,Estimated total,1,1217,10,236,174,195,776,13344,2328,10754,262
,Nonmetropolitan counties,,888540,,,,,,,,,,
,,Area actually reporting,1,1204,18,577,376,47,562,10395,2440,7611,344
,,Estimated total,1,1251,19,605,394,48,579,10718,2516,7847,355
,State Total,,19746227,75398,617,5433,3918,24045,45303,339282,50781,272765,15736
,,"Rate per 100,000 inhabitants",,382,3,28,20,122,229,1718,257,1381,80
NORTH CAROLINA,Metropolitan Statistical Area,,7727957,,,,,,,,,,
,,Area actually reporting,1,25907,358,1946,1410,7112,16491,220587,57805,151974,10808
,,Estimated total,1,26053,359,1952,1416,7148,16594,222495,58252,153363,10880
,Cities outside metropolitan areas,,648863,,,,,,,,,,
,,Area actually reporting,1,3655,71,192,145,835,2557,31335,7687,22533,1115
,,Estimated total,1,3958,77,198,151,907,2776,34021,8346,24464,1211
,Nonmetropolitan counties,,1567144,,,,,,,,,,
,,Area actually reporting,1,2673,72,261,168,350,1990,28309,12393,14423,1493
,,Estimated total,1,2756,74,270,173,361,2051,29181,12775,14867,1539
,State Total,,9943964,32767,510,2420,1740,8416,21421,285697,79373,192694,13630
,,"Rate per 100,000 inhabitants",,330,5,24,18,85,215,2873,798,1938,137
NORTH DAKOTA4,Metropolitan Statistical Area,,363187, ,,,,,,,,,
,,Area actually reporting,1,1055,8,190,156,116,741,8298,1369,6359,570
,Cities outside metropolitan areas,,180439,,,,,,,,,,
,,Area actually reporting,1,683,12,130,95,47,494,5385,897,3852,636
,Nonmetropolitan counties,,195856,,,,,,,,,,
,,Area actually reporting,1,221,2,38,25,10,171,1909,438,1165,306
,,Estimated total,1,222,2,38,25,10,172,1922,441,1173,308
,State Total,,739482,1960,22,358,276,173,1407,15605,2707,11384,1514
,,"Rate per 100,000 inhabitants",,265,3,48,37,23,190,2110,366,1540,205
OHIO5,Metropolitan Statistical Area,,9218545,,,,,,,,,,
,,Area actually reporting,1,28580,406,3963,3274,11782,12429,255451,64006,175491,15954
,,Estimated total,1,29798,417,4233,3479,12195,12953,274917,67601,190658,16658
,Cities outside metropolitan areas,,1049077,,,,,,,,,,
,,Area actually reporting,1,1525,19,371,314,364,771,26877,5139,21197,541
,,Estimated total,1,1861,23,451,369,445,942,32841,6279,25901,661
,Nonmetropolitan counties,,1326541,,,,,,,,,,
,,Area actually reporting,1,1234,22,318,223,102,792,15161,4489,10043,629
,,Estimated total,1,1371,24,358,249,113,876,16770,4965,11109,696
,State Total,,11594163,33030,464,5042,4097,12753,14771,324528,78845,227668,18015
,,"Rate per 100,000 inhabitants",,285,4,44,35,110,127,2799,680,1964,155
OKLAHOMA4,Metropolitan Statistical Area,,2526767,,,,,,,,,,
,,Area actually reporting,1,11796,141,1321,960,2680,7654,81680,20708,52585,8387
,Cities outside metropolitan areas,,728921,,,,,,,,,,
,,Area actually reporting,1,3189,24,372,264,337,2456,26975,6244,19215,1516
,Nonmetropolitan counties,,622363,,,,,,,,,,
,,Area actually reporting,1,759,10,84,53,31,634,7327,2556,4091,680
,State Total,,3878051,15744,175,1777,1277,3048,10744,115982,29508,75891,10583
,,"Rate per 100,000 inhabitants",,406,5,46,33,79,277,2991,761,1957,273
OREGON5,Metropolitan Statistical Area,,3317292,,,,,,,,,,
,,Area actually reporting,1,7436,55,1114,817,1840,4427,92252,12754,71579,7919
,,Estimated total,1,7928,58,1232,900,1903,4735,97757,13901,75432,8424
,Cities outside metropolitan areas,,306040,,,,,,,,,,
,,Area actually reporting,1,805,9,148,100,148,500,10629,1780,8250,599
,,Estimated total,1,854,10,155,106,157,532,11299,1892,8770,637
,Nonmetropolitan counties,,346907,,,,,,,,,,
,,Area actually reporting,1,434,13,69,45,32,320,5165,1414,3271,480
,,Estimated total,1,442,13,71,46,33,325,5249,1437,3324,488
,State Total,,3970239,9224,81,1458,1052,2093,5592,114305,17230,87526,9549
,,"Rate per 100,000 inhabitants",,232,2,37,27,53,141,2879,434,2205,241
PENNSYLVANIA4,Metropolitan Statistical Area,,11296254,,,,,,,,,,
,,Area actually reporting,1,37560,587,3358,2465,13252,20363,224980,40869,171772,12339
,,Estimated total,1,37654,588,3362,2468,13278,20426,225908,41009,172530,12369
,Cities outside metropolitan areas,,688032,,,,,,,,,,
,,Area actually reporting,1,1470,6,136,102,150,1178,10840,1812,8754,274
,,Estimated total,1,1499,6,137,103,153,1203,11068,1850,8938,280
,Nonmetropolitan counties,,802923,,,,,,,,,,
,,Area actually reporting,1,1011,20,328,216,103,560,10040,2861,6788,391
,State Total,,12787209,40164,614,3827,2787,13534,22189,247016,45720,188256,13040
,,"Rate per 100,000 inhabitants",,314,5,30,22,106,174,1932,358,1472,102
PUERTO RICO,Metropolitan Statistical Area,,3394621,,,,,,,,,,
,,Area actually reporting,1,8134,657,55,41,5062,2360,44180,11558,28051,4571
,Cities outside metropolitan areas,,153776,,,,,,,,,,
,,Area actually reporting,1,249,24,1,0,109,115,1442,477,897,68
,Total,,3548397,8383,681,56,41,5171,2475,45622,12035,28948,4639
,,"Rate per 100,000 inhabitants",,236,19,2,1,146,70,1286,339,816,131
