Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,2011,181,1377864,13.14,12.58660231
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,2012,190,1391820,13.65,12.94418116
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,2013,171,1406481,12.16,11.57456717
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,2014,204,1416349,14.4,13.67375846
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,2015,201,1425157,14.1,13.55509507
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,2016,174,1428557,12.18,12.00412776
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,,1328,9806529,13.54,.
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,2010,290,1567652,18.5,18.7703006
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,2011,281,1584143,17.74,18.20713394
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,2012,297,1595911,18.61,19.08826991
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,2013,308,1612011,19.11,19.24383638
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,2014,320,1633532,19.59,20.09342304
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,2015,359,1652828,21.72,22.23426268
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,2016,351,1683140,20.85,21.32094583
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Injury,,2206,11329217,19.47,.
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,2010,1178,12830632,9.18,8.959365206
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,2011,1226,12860012,9.53,9.257200823
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,2012,1292,12870798,10.04,9.742930059
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,2013,1321,12879505,10.26,9.920857976
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,2014,1398,12867544,10.86,10.44923959
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,2015,1363,12839047,10.62,10.30741959
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,2016,1415,12801539,11.05,10.70210341
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Injury,,9193,89949077,10.22,.
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,2010,864,6483800,13.33,13.09601277
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,2011,881,6516480,13.52,13.55019476
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,2012,940,6537743,14.38,14.3061399
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,2013,944,6569102,14.37,14.26578185
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,2014,948,6595233,14.37,14.26268338
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,2015,960,6612768,14.52,14.42363519
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,2016,1034,6633053,15.59,15.35741183
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Injury,,6571,45948179,14.3,.
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,2010,372,3046857,12.21,12.09217389
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,2011,422,3065223,13.77,13.95240897
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,2012,383,3076310,12.45,12.5710116
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,2013,447,3091930,14.46,14.42560006
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,2014,407,3108030,13.1,12.7844217
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,2015,433,3121997,13.87,13.96288404
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,2016,451,3134693,14.39,14.54628365
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Injury,,2915,21645040,13.47,.
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,2010,401,2853116,14.05,13.8946897
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,2011,394,2869503,13.73,13.73182217
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,2012,502,2885262,17.4,17.38386979
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,2013,425,2892821,14.69,14.54985111
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,2014,455,2899360,15.69,15.68062446
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,2015,477,2906721,16.41,16.24086764
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,2016,514,2907289,17.68,17.92118018
Both Sexes,All Races,Kansas,Both,All Ages,2010,2016,Suicide Injury,,3168,20214072,15.67,.
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,2010,631,4339357,14.54,14.17061966
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,2011,675,4369354,15.45,15.12890177
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,2012,724,4384799,16.51,16.15107943
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,2013,701,4400477,15.93,15.50496876
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,2014,728,4413057,16.5,15.90600157
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,2015,776,4424611,17.54,17.06043892
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,2016,756,4436974,17.04,16.78949831
Both Sexes,All Races,Kentucky,Both,All Ages,2010,2016,Suicide Injury,,4991,30768629,16.22,.
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,2010,557,4533372,12.29,12.31093734
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,2011,573,4575404,12.52,12.47953378
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,2012,567,4603429,12.32,12.35006681
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,2013,583,4626402,12.6,12.32571433
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,2014,679,4647880,14.61,14.27099975
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,2015,722,4668960,15.46,15.26986216
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,2016,677,4681666,14.46,14.12546873
Both Sexes,All Races,Louisiana,Both,All Ages,2010,2016,Suicide Injury,,4358,32337113,13.48,.
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,2010,186,1328361,14,13.03761522
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,2011,235,1328231,17.69,16.60384426
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,2012,209,1328895,15.73,14.63747582
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,2013,245,1329076,18.43,17.3955688
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,2014,220,1330719,16.53,15.72707086
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,2015,235,1329453,17.68,16.1500303
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,2016,226,1331479,16.97,15.7369583
Both Sexes,All Races,Maine,Both,All Ages,2010,2016,Suicide Injury,,1556,9306214,16.72,.
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,2010,502,5773552,8.69,8.305561965
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,2011,558,5843603,9.55,9.142208185
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,2012,583,5889651,9.9,9.391096425
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,2013,569,5931129,9.59,9.081214384
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,2014,606,5967295,10.16,9.778614703
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,2015,553,5994983,9.22,8.781520416
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,2016,586,6016447,9.74,9.345008319
Both Sexes,All Races,Maryland,Both,All Ages,2010,2016,Suicide Injury,,3957,41416660,9.55,.
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,2010,598,6547629,9.13,8.733315111
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,2011,585,6611923,8.85,8.344068891
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,2012,604,6658008,9.07,8.610257634
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,2013,572,6706786,8.53,8.151711983
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,2014,596,6749911,8.83,8.250773478
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,2015,642,6784240,9.46,8.884471529
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,2016,631,6811779,9.26,8.718951711
Both Sexes,All Races,Massachusetts,Both,All Ages,2010,2016,Suicide Injury,,4228,46870276,9.02,.
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,2010,1263,9883635,12.78,12.47812343
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,2011,1221,9876213,12.36,12.16744883
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,2012,1261,9887238,12.75,12.47710802
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,2013,1295,9898982,13.08,12.83849325
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,2014,1354,9915767,13.66,13.2251808
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,2015,1410,9917715,14.22,13.75158725
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,2016,1364,9928300,13.74,13.27483379
Both Sexes,All Races,Michigan,Both,All Ages,2010,2016,Suicide Injury,,9168,69307850,13.23,.
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,2010,606,5303925,11.43,11.20804713
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,2011,683,5348562,12.77,12.41542131
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,2012,656,5380285,12.19,11.97094637
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,2013,678,5418521,12.51,12.08231358
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,2014,686,5453109,12.58,12.26011233
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,2015,730,5482435,13.32,13.21691751
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,2016,745,5519952,13.5,13.18329642
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Injury,,4784,37906789,12.62,.
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,2010,388,2967299,13.08,12.93929252
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,2011,389,2978162,13.06,13.12334278
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,2012,410,2984945,13.74,13.95887752
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,2013,388,2990482,12.97,13.0051445
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,2014,380,2992400,12.7,12.54437133
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,2015,431,2989390,14.42,13.96817578
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,2016,383,2988726,12.81,12.68228246
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Injury,,2769,20891404,13.25,.
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,2010,856,5988924,14.29,14.03304635
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,2011,933,6010717,15.52,15.3259906
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,2012,914,6025415,15.17,14.80036162
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,2013,960,6042711,15.89,15.62189063
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,2014,1017,6060930,16.78,16.32222677
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,2015,1052,6076204,17.31,17.00940883
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,2016,1133,6093000,18.6,18.26854428
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Injury,,6865,42297901,16.23,.
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,2010,227,989417,22.94,21.85729997
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,2011,232,997821,23.25,22.48427505
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,2012,233,1005196,23.18,22.50048651
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,2013,243,1014314,23.96,23.74251475
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,2014,251,1022867,24.54,23.83086664
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,2015,272,1032073,26.35,25.27215104
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,2016,267,1042520,25.61,26.00542113
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Injury,,1725,7104208,24.28,.
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,2010,193,1826341,10.57,10.40338353
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,2011,193,1842283,10.48,10.62636167
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,2012,232,1855725,12.5,12.48936975
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,2013,220,1868559,11.77,11.66280514
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,2014,251,1881145,13.34,13.36335725
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,2015,223,1893765,11.78,11.61586136
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,2016,246,1907116,12.9,13.04597682
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Injury,,1558,13074934,11.92,.
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,2010,547,2700552,20.26,19.82908628
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,2011,516,2718379,18.98,18.34323033
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,2012,524,2752565,19.04,18.16448663
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,2013,541,2786464,19.42,18.60909347
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,2014,573,2833013,20.23,19.50736321
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,2015,558,2883758,19.35,18.43443346
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,2016,650,2940058,22.11,21.41497643
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Injury,,3909,19614789,19.93,.
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,2010,196,1316469,14.89,14.10849367
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,2011,198,1318473,15.02,13.7331548
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,2012,202,1321182,15.29,14.15691152
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,2013,185,1322687,13.99,12.80954084
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,2014,247,1328743,18.59,17.60434666
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,2015,228,1330111,17.14,16.59811349
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,2016,244,1334795,18.28,17.3016864
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Injury,,1500,9272460,16.18,.
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Injury,2010,719,8791898,8.18,7.732596943
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Injury,2011,689,8841243,7.79,7.444511042
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Injury,2012,683,8873211,7.7,7.386853649
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Injury,2013,757,8899162,8.51,8.007650607
