Table 5,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,
"by State, 2013",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,,Area actually reporting,1,148,0,31,26,21,96,2071,297,1659,115
,Nonmetropolitan counties,,537352,,,,,,,,,,
,,Area actually reporting,1,413,6,82,71,53,272,4392,1267,2713,412
,State Total,,3596080,9440,86,955,668,3530,4869,70990,12892,51876,6222
,,"Rate per 100,000 inhabitants",,263,2,27,19,98,135,1974,359,1443,173
DELAWARE4,Metropolitan Statistical Area,,925749,,,,,,,,,,
,,Area actually reporting,1,4547,39,379,265,1226,2903,28378,6131,20915,1332
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,1,2,0,1,1,0,1,1,0,1,0
,State Total,,925749,4549,39,380,266,1226,2904,28379,6131,20916,1332
,,"Rate per 100,000 inhabitants",,491,4,41,29,132,314,3066,662,2259,144
"DISTRICT OF COLUMBIA4,7",Metropolitan Statistical Area,,646449,,,,,,,,,,
,,Area actually reporting,1,8406,103,395,276,4078,3830,31083,3316,24533,3234
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,646449,8406,103,395,276,4078,3830,31083,3316,24533,3234
,,"Rate per 100,000 inhabitants",,1300,16,61,43,631,593,4808,513,3795,500
FLORIDA4,Metropolitan Statistical Area,,18847207, ,,,,,, ,,,
,,Area actually reporting,1,,936,6534,,22807,58111,588180,133228,420827,34125
,,Estimated total,1,88501,936,6543,4572,22839,58183,589069,133415,421479,34175
,Cities outside metropolitan areas,,147373,,,,,,,,,,
,,Area actually reporting,1,,9,53,,185,870,6505,1529,4710,266
,,Estimated total,1,1158,9,55,37,192,902,6742,1585,4881,276
,Nonmetropolitan counties,,558280,,,,,,,,,,
,,Area actually reporting,1,,25,152,,159,1853,10690,3685,6571,434
,,Estimated total,1,2327,27,162,113,169,1969,11361,3916,6984,461
,State Total,,19552860,91986,972,6760,4722,23200,61054,607172,138916,433344,34912
,,"Rate per 100,000 inhabitants",,470,5,35,24,119,312,3105,711,2216,179
GEORGIA,Metropolitan Statistical Area,,8216901,,,,,,,,,,
,,Area actually reporting,1,,479,,1647,11456,16585,279224,68360,186099,24765
,,Estimated total,1,30818,480,2154,1655,11511,16673,280934,68678,187372,24884
,Cities outside metropolitan areas,,662073,,,,,,,,,,
,,Area actually reporting,1,,36,,181,700,2179,29435,6501,22199,735
,,Estimated total,1,3428,39,256,197,762,2371,32025,7073,24152,800
,Nonmetropolitan counties,,1113193,,,,,,,,,,
,,Area actually reporting,1,,34,,121,197,1717,19678,5972,12658,1048
,,Estimated total,1,2295,37,172,132,215,1871,21440,6507,13791,1142
,State Total,,9992167,36541,556,2582,1984,12488,20915,334399,82258,225315,26826
,,"Rate per 100,000 inhabitants",,366,6,26,20,125,209,3347,823,2255,269
HAWAII,Metropolitan Statistical Area,,1144335,,,,,,,,,,
,,Area actually reporting,1,2849,12,273,210,1011,1553,35149,5661,26292,3196
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,259719,,,,,,,,,,
,,Area actually reporting,1,684,9,112,86,120,443,7726,1872,5366,488
,State Total, ,1404054,3533,21,385,296,1131,1996,42875,7533,31658,3684
,,"Rate per 100,000 inhabitants",,252,2,27,21,81,142,3054,537,2255,262
IDAHO4,Metropolitan Statistical Area,,1066771,,,,,,, ,,,
,,Area actually reporting,1,,13,474,,178,1774,21382,4409,15890,1083
,,Estimated total,1,2440,13,474,331,178,1775,21391,4411,15897,1083
,Cities outside metropolitan areas,,248535,,,,,,,,,,
,,Area actually reporting,1,581,6,98,68,30,447,5413,1113,4078,222
,Nonmetropolitan counties, ,296830,,,,,,,, ,,
,,Area actually reporting,1,477,8,83,58,12,374,3251,1116,1904,231
,State Total,,1612136,3498,27,655,457,220,2596,30055,6640,21879,1536
,,"Rate per 100,000 inhabitants",,217,2,41,28,14,161,1864,412,1357,95
ILLINOIS5,Metropolitan Statistical Area,,11373567,,,,,,,,,,
,,Area actually reporting,1,,672,,2786,17272,23387,259745,50706,189093,19946
,,Estimated total,1,45763,680,3737,2866,17502,23844,266888,51966,194673,20249
,Cities outside metropolitan areas,,830759,,,,,,,,,,
,,Area actually reporting,1,,19,,277,166,1582,17129,3712,13021,396
,,Estimated total,1,2458,22,412,321,192,1832,19834,4298,15077,459
,Nonmetropolitan counties,,677809,,,,,,,,,,
,,Area actually reporting,1,,4,,83,26,569,5868,1849,3808,211
,,Estimated total,1,753,4,114,89,28,607,6261,1973,4063,225
,State Total,,12882135,48974,706,4263,3276,17722,26283,292983,58237,213813,20933
,,"Rate per 100,000 inhabitants",,380,6,33,25,138,204,2274,452,1660,163
INDIANA5,Metropolitan Statistical Area,,5094468,,,,,,,,,,
,,Area actually reporting,1,,306,,1300,6762,11535,149461,34748,102557,12156
,,Estimated total,1,21194,319,1852,1387,6924,12099,160115,36980,110263,12872
,Cities outside metropolitan areas, ,520960,,,,,,,,,,
,,Area actually reporting,1,,10,,108,95,646,13531,2236,10679,616
,,Estimated total,1,1137,13,159,141,124,841,17615,2911,13902,802
,Nonmetropolitan counties,,955474,,,,,,,,,,
,,Area actually reporting,1,,17,,87,44,695,7236,2227,4618,391
,,Estimated total,1,1156,23,131,118,60,942,9806,3018,6258,530
,State Total,,6570902,23487,355,2142,1646,7108,13882,187536,42909,130423,14204
,,"Rate per 100,000 inhabitants",,357,5,33,25,108,211,2854,653,1985,216
IOWA4,Metropolitan Statistical Area,,1797551, ,,,,,,,,,
,,Area actually reporting,1,,28,714,,820,4025,47266,10301,33836,3129
,,Estimated total,1,5653,28,723,505,822,4080,47750,10428,34161,3161
,Cities outside metropolitan areas,,601851,,,,,,,,,,
,,Area actually reporting,1,,6,247,,97,1585,14008,3258,10088,662
,,Estimated total,1,2119,7,270,189,106,1736,15341,3568,11048,725
,Nonmetropolitan counties,,691014,,,,,,,,,,
,,Area actually reporting,1,,7,79,,10,443,4112,1635,2163,314
,,Estimated total,1,616,8,90,63,11,507,4709,1872,2477,360
,State Total,,3090416,8388,43,1083,757,939,6323,67800,15868,47686,4246
,,"Rate per 100,000 inhabitants",,271,1,35,25,30,205,2194,514,1543,137
KANSAS5,Metropolitan Statistical Area,,1936336, ,,,,,,,,,
,,Area actually reporting,1,,79,781,,1163,4998,61168,11467,44275,5426
,,Estimated total,1,7039,79,784,533,1164,5012,61380,11502,44438,5440
,Cities outside metropolitan areas,,619820,,,,,,,,,,
,,Area actually reporting,1,,15,296,,162,1519,17803,3799,13191,813
,,Estimated total,1,2103,16,312,229,171,1604,18793,4010,13925,858
,Nonmetropolitan counties,,337801,,,,,,,,,,
,,Area actually reporting,1,,16,95,,14,542,4903,1789,2785,329
,,Estimated total,1,696,17,99,73,15,565,5107,1863,2901,343
,State Total,,2893957,9838,112,1195,835,1350,7181,85280,17375,61264,6641
,,"Rate per 100,000 inhabitants",,340,4,41,29,47,248,2947,600,2117,230
KENTUCKY5,Metropolitan Statistical Area,,2555209, ,,,,,, ,,,
,,Area actually reporting,1,,95,848,,2737,3130,76216,17632,54088,4496
,,Estimated total,1,6825,95,851,578,2744,3135,76446,17680,54258,4508
,Cities outside metropolitan areas,,534280,,,,,,,,,,
,,Area actually reporting,1,,11,169,,315,422,14792,3046,11202,544
,,Estimated total,1,955,11,176,127,328,440,15417,3175,11675,567
,Nonmetropolitan counties,,1305806,,,,,,,,,,
,,Area actually reporting,1,,59,569,,169,607,11681,5218,5531,932
,,Estimated total,1,1442,61,584,421,174,623,11994,5358,5679,957
,State Total,,4395295,9222,167,1611,1126,3246,4198,103857,26213,71612,6032
,,"Rate per 100,000 inhabitants",,210,4,37,26,74,96,2363,596,1629,137
LOUISIANA5,Metropolitan Statistical Area,,3853803, ,,,,,, ,,,
,,Area actually reporting,1,,453,,966,5050,13112,140871,35041,97724,8106
,,Estimated total,1,20088,456,1284,976,5087,13261,142744,35385,99191,8168
,Cities outside metropolitan areas,,278847,,,,,,,,,,
,,Area actually reporting,1,,19,,84,285,1254,10742,2686,7761,295
,,Estimated total,1,2126,24,134,107,364,1604,13738,3435,9926,377
,Nonmetropolitan counties,,492820,,,,,,,,,,
,,Area actually reporting,1,,17,,152,91,1371,8676,2228,5868,580
,,Estimated total,1,1770,18,201,161,97,1454,9204,2364,6225,615
,State Total,,4625470,23984,498,1619,1244,5548,16319,165686,41184,115342,9160
,,"Rate per 100,000 inhabitants",,519,11,35,27,120,353,3582,890,2494,198
"MAINE5, 6",Metropolitan Statistical Area,,779976,,,,,,,,,,
,,Area actually reporting,1,1081,13,250,189,270,548,19044,3785,14734,525
,Cities outside metropolitan areas,,267901,,,,,,,,,,
,,Area actually reporting,1,407,3,117,84,50,237,7590,1408,5980,202
,Nonmetropolitan counties,,280425,,,,,,,,,,
,,Area actually reporting,1,230,8,80,71,15,127,3813,1290,2336,187
,State Total,,1328302,1718,24,447,344,335,912,30447,6483,23050,914
,,"Rate per 100,000 inhabitants",,129,2,34,26,25,69,2292,488,1735,69
MARYLAND,Metropolitan Statistical Area,,5775247,,,,,,,,,,
,,Area actually reporting,1,27579,380,1499,1152,9960,15740,154451,31049,110069,13333
,Cities outside metropolitan areas,,53189,,,,,,,,,,
,,Area actually reporting,1,278,0,13,10,71,194,1716,313,1382,21
,Nonmetropolitan counties,,100378,,,,,,,,,,
,,Area actually reporting,1,232,1,20,15,17,194,1746,587,1095,64
,State Total,,5928814,28089,381,1532,1177,10048,16128,157913,31949,112546,13418
,,"Rate per 100,000 inhabitants",,474,6,26,20,170,272,2664,539,1898,226
MASSACHUSETTS5,Metropolitan Statistical Area,,6593377,,,,,,,,,,
,,Area actually reporting,1,,136,,2016,6609,17645,133596,29863,94792,8941
,,Estimated total,1,27297,137,2659,2042,6663,17838,135157,30207,95912,9038
,Cities outside metropolitan areas,,91728,,,,,,,,,,
,,Area actually reporting,1,,0,,38,35,214,1717,425,1224,68
,,Estimated total,1,367,0,59,47,43,265,2126,526,1516,84
,Nonmetropolitan counties,,7719,,,,,,,,,,
,,Area actually reporting,1,3,0,0,0,0,3,2,2,0,0
,State Total,,6692824,27667,137,2718,2089,6706,18106,137285,30735,97428,9122
,,"Rate per 100,000 inhabitants",,413,2,41,31,100,271,2051,459,1456,136
MICHIGAN4,Metropolitan Statistical Area,,8089847,,,,,,,,,,
,,Area actually reporting,1,,596,4962,,9930,24679,198626,48923,126298,23405
,,Estimated total,1,40367,597,4995,3495,9973,24802,200180,49238,127412,23530
,Cities outside metropolitan areas,,603348,,,,,,,,,,
,,Area actually reporting,1,,8,492,,69,764,12790,1884,10616,290
,,Estimated total,1,1481,9,546,375,77,849,14215,2094,11799,322
,Nonmetropolitan counties,,1202427,,,,,,,,,,
,,Area actually reporting,1,,24,1010,,53,1482,15307,4813,9807,687
,,Estimated total,1,2675,25,1052,736,55,1543,15939,5012,10212,715
,State Total, ,9895622,44523,631,6593,4606,10105,27194,230334,56344,149423,24567
,,"Rate per 100,000 inhabitants",,450,6,67,47,102,275,2328,569,1510,248
MINNESOTA4,Metropolitan Statistical Area,,4178564,,,,,,,,,,
,,Area actually reporting,1,,94,1514,,3576,5628,108013,18230,82949,6834
,,Estimated total,1,10813,94,1514,1060,3576,5629,108031,18232,82964,6835
,Cities outside metropolitan areas,,490171,,,,,,,,,,
,,Area actually reporting,1,1118,9,245,169,81,783,13951,1962,11404,585
,Nonmetropolitan counties,,751645,,,,,,,,,,
,,Area actually reporting,1,774,11,249,174,17,497,9213,2519,6148,546
,State Total,,5420380,12705,114,2008,1403,3674,6909,131195,22713,100516,7966
,,"Rate per 100,000 inhabitants",,234,2,37,26,68,128,2420,419,1854,147
MISSISSIPPI5,Metropolitan Statistical Area,,1361997, ,,,,,,,,,
,,Area actually reporting,1,,74,,323,1363,1895,36525,10137,24041,2347
,,Estimated total,1,4139,77,460,355,1441,2161,40921,11410,26910,2601
,Cities outside metropolitan areas,,588107,,,,,,,,,,
,,Area actually reporting,1,,45,,134,538,813,17725,5031,11991,703
,,Estimated total,1,2336,67,265,204,798,1206,26301,7465,17793,1043
,Nonmetropolitan counties,,1041103,,,,,,,,,,
,,Area actually reporting,0,,25,,71,83,642,6981,2992,3625,364
,,Estimated total,1,1739,51,205,156,170,1313,14278,6120,7414,744
,State Total,,2991207,8214,195,930,715,2409,4680,81500,24995,52117,4388
,,"Rate per 100,000 inhabitants",,275,7,31,24,81,157,2725,836,1742,147
MISSOURI4,Metropolitan Statistical Area,,4486519, ,,,,,,,,,
,,Area actually reporting,1,,310,1955,,5176,14317,150899,30232,106390,14277
,,Estimated total,1,21763,310,1956,1367,5177,14320,150957,30242,106435,14280
,Cities outside metropolitan areas,,661762,,,,,,,,,,
,,Area actually reporting,1,,17,173,,256,2073,25737,4319,20400,1018
,,Estimated total,1,2527,17,174,122,257,2079,25816,4332,20463,1021
,Nonmetropolitan counties,,895890,,,,,,,,,,
,,Area actually reporting,1,1907,44,157,110,50,1656,12833,4291,7518,1024
,State Total,,6044171,26197,371,2287,1599,5484,18055,189606,38865,134416,16325
,,"Rate per 100,000 inhabitants",,433,6,38,27,91,299,3137,643,2224,270
MONTANA4,Metropolitan Statistical Area,,359094, ,,,,,,,,,
,,Area actually reporting,1,924,5,131,94,143,645,12945,2164,9837,944
,Cities outside metropolitan areas,,211218,,,,,,,,,,
,,Area actually reporting,1,,12,166,,42,612,6966,923,5628,415
,,Estimated total,1,852,12,170,115,43,627,7141,946,5770,425
,Nonmetropolitan counties,,444853,,,,,,,,,,
,,Area actually reporting,1,,5,103,,17,625,5562,904,4202,456
,,Estimated total,1,791,5,109,78,18,659,5867,954,4432,481
,State Total,,1015165,2567,22,410,287,204,1931,25953,4064,20039,1850
,,"Rate per 100,000 inhabitants",,253,2,40,28,20,190,2557,400,1974,182
NEBRASKA5,Metropolitan Statistical Area,,1195918,,,,,,,,,,
,,Area actually reporting,1,,53,,420,992,2436,36568,6499,26152,3917
,,Estimated total,1,3988,53,503,422,993,2439,36681,6518,26238,3925
,Cities outside metropolitan areas,,341308,,,,,,,,,,
,,Area actually reporting,1,,1,,128,35,388,8304,1414,6567,323
,,Estimated total,1,706,1,233,143,39,433,9277,1580,7336,361
,Nonmetropolitan counties,,331290,,,,,,,,,,
,,Area actually reporting,1,,2,,43,6,100,2408,631,1638,139
,,Estimated total,1,203,3,65,51,8,127,3060,802,2081,177
,State Total,,1868516,4897,57,801,616,1040,2999,49018,8900,35655,4463
,,"Rate per 100,000 inhabitants",,262,3,43,33,56,161,2623,476,1908,239
NEVADA,Metropolitan Statistical Area,,2519173,,,,,,,,,,
,,Area actually reporting,1,15824,143,1290,991,5124,9267,73425,21274,42622,9529
,Cities outside metropolitan areas,,47878,,,,,,,,,,
,,Area actually reporting,1,282,10,49,38,24,199,1996,577,1243,176
,Nonmetropolitan counties,,223085,,,,,,,,,,
,,Area actually reporting,1,,10,,60,34,582,3678,1171,2220,287
,,Estimated total,1,718,10,79,61,35,594,3756,1196,2267,293
,State Total,,2790136,16824,163,1418,1090,5183,10060,79177,23047,46132,9998
,,"Rate per 100,000 inhabitants",,603,6,51,39,186,361,2838,826,1653,358
NEW HAMPSHIRE4,Metropolitan Statistical Area,,827519,,,,,,,,,,
,,Area actually reporting,1,,13,367,,508,921,17299,2813,13915,571
,,Estimated total,1,1850,13,378,264,515,944,17808,2888,14333,587
,Cities outside metropolitan areas,,442956,,,,,,,,,,
,,Area actually reporting,1,,8,247,,117,407,9076,1549,7259,268
,,Estimated total,1,894,9,284,198,134,467,10419,1778,8333,308
,Nonmetropolitan counties,,52984,,,,,,,,,,
,,Area actually reporting,0,,0,6,,0,13,95,27,66,2
,,Estimated total,1,105,0,24,17,0,81,813,270,498,45
,State Total,,1323459,2849,22,686,479,649,1492,29040,4936,23164,940
,,"Rate per 100,000 inhabitants",,215,2,52,36,49,113,2194,373,1750,71
NEW JERSEY,Metropolitan Statistical Area,,8899339,,,,,,,,,,
,,Area actually reporting,1,,400,,859,12059,12045,167097,35779,117601,13717
,,Estimated total,1,25674,401,1120,861,12082,12071,167556,35873,117936,13747
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,8899339,25674,401,1120,861,12082,12071,167556,35873,117936,13747
,,"Rate per 100,000 inhabitants",,289,5,13,10,136,136,1883,403,1325,155
NEW MEXICO,Metropolitan Statistical Area,,1391773, ,,,,,, ,,,
,,Area actually reporting,1,,66,,720,1449,5417,50368,13692,32409,4267
,,Estimated total,1,8686,69,999,768,1507,6111,54149,14610,35010,4529
,Cities outside metropolitan areas,,396083,,,,,,,,,,
,,Area actually reporting,1,,31,,270,251,2501,17830,4508,12401,921
,,Estimated total,1,3167,31,355,273,254,2527,18012,4554,12528,930
,Nonmetropolitan counties,,297431,,,,,,,,,,
,,Area actually reporting,1,,19,,64,37,560,3837,1741,1760,336
,,Estimated total,1,929,25,111,85,49,744,5095,2312,2337,446
,State Total,,2085287,12782,125,1465,1126,1810,9382,77256,21476,49875,5905
,,"Rate per 100,000 inhabitants",,613,6,70,54,87,450,3705,1030,2392,283
NEW YORK,Metropolitan Statistical Area,,18238153,,,,,,,,,,
,,Area actually reporting,1,,626,,2296,26913,44671,330555,50561,265122,14872
,,Estimated total,1,75338,627,2998,2304,26959,44754,332107,50808,266372,14927
,Cities outside metropolitan areas,,519791,,,,,,,,,,
,,Area actually reporting,1,,3,,116,209,731,14041,2431,11385,225
,,Estimated total,1,1141,3,157,121,218,763,14665,2539,11891,235
,Nonmetropolitan counties,,893183,,,,,,,,,,
,,Area actually reporting,1,893,18,198,152,64,613,11826,3095,8411,320
,State Total,,19651127,77372,648,3353,2577,27241,46130,358598,56442,286674,15482
,,"Rate per 100,000 inhabitants",,394,3,17,13,139,235,1825,287,1459,79
NORTH CAROLINA,Metropolitan Statistical Area,,7627844,,,,,,,,,,
,,Area actually reporting,1,,352,,1403,7776,16254,235075,65304,158115,11656
,,Estimated total,1,26427,353,1841,1415,7830,16403,237873,65970,160141,11762
,Cities outside metropolitan areas,,645472,,,,,,,,,,
,,Area actually reporting,1,,51,,173,937,2529,32546,8423,23035,1088
,,Estimated total,1,4042,55,243,187,1012,2732,35163,9100,24888,1175
,Nonmetropolitan counties,,1574744,,,,,,,,,,
,,Area actually reporting,1,,58,,207,480,2250,33123,14788,16756,1579
,,Estimated total,1,3231,61,285,219,507,2378,35013,15632,17712,1669
,State Total,,9848060,33700,469,2369,1821,9349,21513,308049,90702,202741,14606
,,"Rate per 100,000 inhabitants",,342,5,24,19,95,218,3128,921,2059,148
NORTH DAKOTA4,Metropolitan Statistical Area,,354758, ,,,,,,,,,
,,Area actually reporting,1,1177,7,198,142,110,862,8402,1699,6182,521
,Cities outside metropolitan areas,,169949,,,,,,,,,,
,,Area actually reporting,1,,6,108,,46,434,4834,777,3445,612
,,Estimated total,1,602,6,109,72,47,440,4904,788,3495,621
,Nonmetropolitan counties,,198686,,,,,,,,,,
,,Area actually reporting,1,,3,23,,5,143,1829,444,1113,272
,,Estimated total,1,175,3,23,16,5,144,1842,447,1121,274
,State Total,,723393,1954,16,330,230,162,1446,15148,2934,10798,1416
,,"Rate per 100,000 inhabitants",,270,2,46,32,22,200,2094,406,1493,196
OHIO5,Metropolitan Statistical Area,,9189827,,,,,,,,,,
,,Area actually reporting,1,,409,2727,,13349,12184,267063,74511,175070,17482
,,Estimated total,1,30094,418,3411,2377,13695,12570,283543,77792,187702,18049
,Cities outside metropolitan areas,,1047030,,,,,,,,,,
,,Area actually reporting,1,,9,246,,446,712,30023,6226,23211,586
,,Estimated total,1,1729,11,339,239,531,848,35766,7417,27651,698
,Nonmetropolitan counties,,1333951,,,,,,,,,,
,,Area actually reporting,1,,24,250,,130,770,17831,5714,11396,721
,,Estimated total,1,1298,26,291,208,142,839,19422,6224,12413,785
,State Total,,11570808,33121,455,4041,2824,14368,14257,338731,91433,227766,19532
,,"Rate per 100,000 inhabitants",,286,4,35,24,124,123,2928,790,1969,169
OKLAHOMA5,Metropolitan Statistical Area,,2500215,,,,,,,,,,
,,Area actually reporting,1,13006,156,1653,1293,2700,8497,90943,23527,58338,9078
,Cities outside metropolitan areas,,723295,,,,,,,,,,
,,Area actually reporting,1,3166,21,407,304,292,2446,27502,7002,19046,1454
,Nonmetropolitan counties,,627058,,,,,,,,,,
,,Area actually reporting,1,817,18,120,78,39,640,7612,2819,4111,682
,State Total,,3850568,16989,195,2180,1675,3031,11583,126057,33348,81495,11214
,,"Rate per 100,000 inhabitants",,441,5,57,44,79,301,3274,866,2116,291
OREGON5,Metropolitan Statistical Area,,3277203,,,,,,,,,,
,,Area actually reporting,1,,58,,1197,2234,4674,106257,16988,80581,8688
,,Estimated total,1,8537,58,1548,1201,2242,4689,106671,17050,80905,8716
,Cities outside metropolitan areas,,303728,,,,,,,,,,
,,Area actually reporting,1,,7,,159,122,564,12331,2127,9543,661
,,Estimated total,1,929,7,217,163,125,580,12678,2187,9811,680
,Nonmetropolitan counties,,349134,,,,,,,,,,
,,Area actually reporting,1,,15,,93,29,331,5227,1486,3289,452
,,Estimated total,1,518,15,132,95,30,341,5388,1532,3390,466
,State Total,,3930065,9984,80,1897,1459,2397,5610,124737,20769,94106,9862
,,"Rate per 100,000 inhabitants",,254,2,48,37,61,143,3174,529,2395,251
"PENNSYLVANIA4, 6",Metropolitan Statistical Area,,11277147,,,,,,,,,,
,,Area actually reporting,1,,553,3308,,14464,21664,239427,46396,180021,13010
,,Estimated total,1,40106,553,3317,2318,14496,21740,240562,46574,180941,13047
,Cities outside metropolitan areas,,682385,,,,,,,,,,
,,Area actually reporting,1,,6,121,,168,1339,11751,2091,9383,277
,,Estimated total,1,1679,6,124,87,173,1376,12075,2149,9641,285
,Nonmetropolitan counties,,814269,,,,,,,,,,
,,Area actually reporting,1,1064,35,333,233,93,603,10603,3311,6854,438
,State Total,,12773801,42849,594,3774,2638,14762,23719,263240,52034,197436,13770
,,"Rate per 100,000 inhabitants",,335,5,30,21,116,186,2061,407,1546,108
PUERTO RICO,Metropolitan Statistical Area,,3459216,,,,,,,,,,
,,Area actually reporting,1,8986,845,33,25,5889,2219,46957,13267,28257,5433
,Cities outside metropolitan areas,,155870,,,,,,,,,,
,,Area actually reporting,1,342,38,1,1,127,176,1894,694,1103,97
,Total,,3615086,9328,883,34,26,6016,2395,48851,13961,29360,5530
,,"Rate per 100,000 inhabitants",,258,24,1,1,166,66,1351,386,812,153
RHODE ISLAND4,Metropolitan Statistical Area,,1051511,,,,,,,,,,
,,Area actually reporting,1,2678,31,425,297,684,1538,25622,5606,17809,2207
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
